geo_description,label,year,description,estimate,moe,se,cv
United States,HD01_VD02,2006,Estimate; Total (dollars):,27239,45.28,23.1,0.08
Wayne ,HD01_VD02,2010,Estimate; Median earnings in the past 12 months (in 2010 inflation-adjusted dollars) -- - Total (dollars):,25515,1388.09,708.21,2.78
Wilkes ,HD01_VD02,2010,Estimate; Median earnings in the past 12 months (in 2010 inflation-adjusted dollars) -- - Total (dollars):,22034,2080.34,1061.4,4.82
Wilson ,HD01_VD02,2010,Estimate; Median earnings in the past 12 months (in 2010 inflation-adjusted dollars) -- - Total (dollars):,25324,2527.15,1289.36,5.09
United States,HD01_VD04,2010,Estimate; Median earnings in the past 12 months (in 2010 inflation-adjusted dollars) -- - Male -- - Total (dollars),33276,172.77,88.15,0.26
North Carolina,HD01_VD04,2010,Estimate; Median earnings in the past 12 months (in 2010 inflation-adjusted dollars) -- - Male -- - Total (dollars),30397,269.28,137.39,0.45
Alamance ,HD01_VD04,2010,Estimate; Median earnings in the past 12 months (in 2010 inflation-adjusted dollars) -- - Male -- - Total (dollars),26926,2864.34,1461.4,5.43
Brunswick ,HD01_VD04,2010,Estimate; Median earnings in the past 12 months (in 2010 inflation-adjusted dollars) -- - Male -- - Total (dollars),27133,3920,2e3,7.37
Buncombe ,HD01_VD04,2010,Estimate; Median earnings in the past 12 months (in 2010 inflation-adjusted dollars) -- - Male -- - Total (dollars),26658,1577.53,804.86,3.02
Burke ,HD01_VD04,2010,Estimate; Median earnings in the past 12 months (in 2010 inflation-adjusted dollars) -- - Male -- - Total (dollars),25907,1631.15,832.22,3.21
Cabarrus ,HD01_VD04,2010,Estimate; Median earnings in the past 12 months (in 2010 inflation-adjusted dollars) -- - Male -- - Total (dollars),32462,4450.21,2270.52,6.99
Caldwell ,HD01_VD04,2010,Estimate; Median earnings in the past 12 months (in 2010 inflation-adjusted dollars) -- - Male -- - Total (dollars),27321,3462.47,1766.57,6.47
Carteret ,HD01_VD04,2010,Estimate; Median earnings in the past 12 months (in 2010 inflation-adjusted dollars) -- - Male -- - Total (dollars),26797,5155.57,2630.39,9.82
Catawba ,HD01_VD04,2010,Estimate; Median earnings in the past 12 months (in 2010 inflation-adjusted dollars) -- - Male -- - Total (dollars),26507,2016,1028.57,3.88
Cleveland ,HD01_VD04,2010,Estimate; Median earnings in the past 12 months (in 2010 inflation-adjusted dollars) -- - Male -- - Total (dollars),28380,3199.15,1632.22,5.75
Craven ,HD01_VD04,2010,Estimate; Median earnings in the past 12 months (in 2010 inflation-adjusted dollars) -- - Male -- - Total (dollars),29157,4973.28,2537.39,8.7
Cumberland ,HD01_VD04,2010,Estimate; Median earnings in the past 12 months (in 2010 inflation-adjusted dollars) -- - Male -- - Total (dollars),30859,1366.64,697.27,2.26
Davidson ,HD01_VD04,2010,Estimate; Median earnings in the past 12 months (in 2010 inflation-adjusted dollars) -- - Male -- - Total (dollars),30013,2956.09,1508.21,5.03
Durham ,HD01_VD04,2010,Estimate; Median earnings in the past 12 months (in 2010 inflation-adjusted dollars) -- - Male -- - Total (dollars),29226,3426.72,1748.33,5.98
Forsyth ,HD01_VD04,2010,Estimate; Median earnings in the past 12 months (in 2010 inflation-adjusted dollars) -- - Male -- - Total (dollars),30204,2147.06,1095.44,3.63
Gaston ,HD01_VD04,2010,Estimate; Median earnings in the past 12 months (in 2010 inflation-adjusted dollars) -- - Male -- - Total (dollars),30004,1923.06,981.15,3.27
Guilford ,HD01_VD04,2010,Estimate; Median earnings in the past 12 months (in 2010 inflation-adjusted dollars) -- - Male -- - Total (dollars),29729,1736,885.71,2.98
Harnett ,HD01_VD04,2010,Estimate; Median earnings in the past 12 months (in 2010 inflation-adjusted dollars) -- - Male -- - Total (dollars),30785,4862.47,2480.85,8.06
Henderson ,HD01_VD04,2010,Estimate; Median earnings in the past 12 months (in 2010 inflation-adjusted dollars) -- - Male -- - Total (dollars),27774,4501.45,2296.66,8.27
Iredell ,HD01_VD04,2010,Estimate; Median earnings in the past 12 months (in 2010 inflation-adjusted dollars) -- - Male -- - Total (dollars),32354,6544.85,3339.21,10.32
Johnston ,HD01_VD04,2010,Estimate; Median earnings in the past 12 months (in 2010 inflation-adjusted dollars) -- - Male -- - Total (dollars),32637,3222.98,1644.38,5.04
Lincoln ,HD01_VD04,2010,Estimate; Median earnings in the past 12 months (in 2010 inflation-adjusted dollars) -- - Male -- - Total (dollars),29606,4345.36,2217.02,7.49
Mecklenburg ,HD01_VD04,2010,Estimate; Median earnings in the past 12 months (in 2010 inflation-adjusted dollars) -- - Male -- - Total (dollars),34935,2479.49,1265.05,3.62
Moore ,HD01_VD04,2010,Estimate; Median earnings in the past 12 months (in 2010 inflation-adjusted dollars) -- - Male -- - Total (dollars),36217,8146.21,4156.23,11.48
Nash ,HD01_VD04,2010,Estimate; Median earnings in the past 12 months (in 2010 inflation-adjusted dollars) -- - Male -- - Total (dollars),30810,3799.66,1938.6,6.29
New Hanover ,HD01_VD04,2010,Estimate; Median earnings in the past 12 months (in 2010 inflation-adjusted dollars) -- - Male -- - Total (dollars),30221,4464.51,2277.81,7.54
Onslow ,HD01_VD04,2010,Estimate; Median earnings in the past 12 months (in 2010 inflation-adjusted dollars) -- - Male -- - Total (dollars),27376,3589.96,1831.61,6.69
Orange ,HD01_VD04,2010,Estimate; Median earnings in the past 12 months (in 2010 inflation-adjusted dollars) -- - Male -- - Total (dollars),26438,2888.17,1473.56,5.57
Pitt ,HD01_VD04,2010,Estimate; Median earnings in the past 12 months (in 2010 inflation-adjusted dollars) -- - Male -- - Total (dollars),25114,2747.57,1401.82,5.58
Randolph ,HD01_VD04,2010,Estimate; Median earnings in the past 12 months (in 2010 inflation-adjusted dollars) -- - Male -- - Total (dollars),30622,2303.15,1175.08,3.84
Robeson ,HD01_VD04,2010,Estimate; Median earnings in the past 12 months (in 2010 inflation-adjusted dollars) -- - Male -- - Total (dollars),23228,4145.19,2114.89,9.1
Rockingham ,HD01_VD04,2010,Estimate; Median earnings in the past 12 months (in 2010 inflation-adjusted dollars) -- - Male -- - Total (dollars),29575,3188.43,1626.75,5.5
Rowan ,HD01_VD04,2010,Estimate; Median earnings in the past 12 months (in 2010 inflation-adjusted dollars) -- - Male -- - Total (dollars),28634,4992.34,2547.11,8.9
Rutherford ,HD01_VD04,2010,Estimate; Median earnings in the past 12 months (in 2010 inflation-adjusted dollars) -- - Male -- - Total (dollars),28512,5222.3,2664.44,9.34
Surry ,HD01_VD04,2010,Estimate; Median earnings in the past 12 months (in 2010 inflation-adjusted dollars) -- - Male -- - Total (dollars),27482,3999.83,2040.73,7.43
Union ,HD01_VD04,2010,Estimate; Median earnings in the past 12 months (in 2010 inflation-adjusted dollars) -- - Male -- - Total (dollars),40652,2380.6,1214.59,2.99
Wake ,HD01_VD04,2010,Estimate; Median earnings in the past 12 months (in 2010 inflation-adjusted dollars) -- - Male -- - Total (dollars),40646,1097.36,559.88,1.38
Wayne ,HD01_VD04,2010,Estimate; Median earnings in the past 12 months (in 2010 inflation-adjusted dollars) -- - Male -- - Total (dollars),27588,4167.83,2126.44,7.71
Wilkes ,HD01_VD04,2010,Estimate; Median earnings in the past 12 months (in 2010 inflation-adjusted dollars) -- - Male -- - Total (dollars),24072,3140.77,1602.43,6.66
Wilson ,HD01_VD04,2010,Estimate; Median earnings in the past 12 months (in 2010 inflation-adjusted dollars) -- - Male -- - Total (dollars),27174,4507.4,2299.69,8.46
United States,HD01_VD05,2010,"Estimate; Median earnings in the past 12 months (in 2010 inflation-adjusted dollars) -- - Male -- - Worked full-time, year-round in the past 12 months (dollars)",46500,92.94,47.42,0.1
North Carolina,HD01_VD05,2010,"Estimate; Median earnings in the past 12 months (in 2010 inflation-adjusted dollars) -- - Male -- - Worked full-time, year-round in the past 12 months (dollars)",41138,271.66,138.6,0.34
Alamance ,HD01_VD05,2010,"Estimate; Median earnings in the past 12 months (in 2010 inflation-adjusted dollars) -- - Male -- - Worked full-time, year-round in the past 12 months (dollars)",38624,4537.19,2314.89,5.99
Brunswick ,HD01_VD05,2010,"Estimate; Median earnings in the past 12 months (in 2010 inflation-adjusted dollars) -- - Male -- - Worked full-time, year-round in the past 12 months (dollars)",41455,6246.98,3187.23,7.69
Buncombe ,HD01_VD05,2010,"Estimate; Median earnings in the past 12 months (in 2010 inflation-adjusted dollars) -- - Male -- - Worked full-time, year-round in the past 12 months (dollars)",37054,3066.89,1564.74,4.22
Burke ,HD01_VD05,2010,"Estimate; Median earnings in the past 12 months (in 2010 inflation-adjusted dollars) -- - Male -- - Worked full-time, year-round in the past 12 months (dollars)",31827,2087.49,1065.05,3.35
Cabarrus ,HD01_VD05,2010,"Estimate; Median earnings in the past 12 months (in 2010 inflation-adjusted dollars) -- - Male -- - Worked full-time, year-round in the past 12 months (dollars)",45359,4838.64,2468.69,5.44
Caldwell ,HD01_VD05,2010,"Estimate; Median earnings in the past 12 months (in 2010 inflation-adjusted dollars) -- - Male -- - Worked full-time, year-round in the past 12 months (dollars)",33571,5110.3,2607.3,7.77
Carteret ,HD01_VD05,2010,"Estimate; Median earnings in the past 12 months (in 2010 inflation-adjusted dollars) -- - Male -- - Worked full-time, year-round in the past 12 months (dollars)",40966,3097.87,1580.55,3.86
Catawba ,HD01_VD05,2010,"Estimate; Median earnings in the past 12 months (in 2010 inflation-adjusted dollars) -- - Male -- - Worked full-time, year-round in the past 12 months (dollars)",37448,5142.47,2623.71,7.01
Cleveland ,HD01_VD05,2010,"Estimate; Median earnings in the past 12 months (in 2010 inflation-adjusted dollars) -- - Male -- - Worked full-time, year-round in the past 12 months (dollars)",38343,3958.13,2019.45,5.27
Craven ,HD01_VD05,2010,"Estimate; Median earnings in the past 12 months (in 2010 inflation-adjusted dollars) -- - Male -- - Worked full-time, year-round in the past 12 months (dollars)",42304,5004.26,2553.19,6.04
Cumberland ,HD01_VD05,2010,"Estimate; Median earnings in the past 12 months (in 2010 inflation-adjusted dollars) -- - Male -- - Worked full-time, year-round in the past 12 months (dollars)",39790,3804.43,1941.04,4.88
Davidson ,HD01_VD05,2010,"Estimate; Median earnings in the past 12 months (in 2010 inflation-adjusted dollars) -- - Male -- - Worked full-time, year-round in the past 12 months (dollars)",37999,2971.57,1516.11,3.99
Durham ,HD01_VD05,2010,"Estimate; Median earnings in the past 12 months (in 2010 inflation-adjusted dollars) -- - Male -- - Worked full-time, year-round in the past 12 months (dollars)",42500,3401.7,1735.56,4.08
Forsyth ,HD01_VD05,2010,"Estimate; Median earnings in the past 12 months (in 2010 inflation-adjusted dollars) -- - Male -- - Worked full-time, year-round in the past 12 months (dollars)",41465,1559.66,795.74,1.92
Gaston ,HD01_VD05,2010,"Estimate; Median earnings in the past 12 months (in 2010 inflation-adjusted dollars) -- - Male -- - Worked full-time, year-round in the past 12 months (dollars)",40003,3662.64,1868.69,4.67
Guilford ,HD01_VD05,2010,"Estimate; Median earnings in the past 12 months (in 2010 inflation-adjusted dollars) -- - Male -- - Worked full-time, year-round in the past 12 months (dollars)",41124,1476.26,753.19,1.83
Harnett ,HD01_VD05,2010,"Estimate; Median earnings in the past 12 months (in 2010 inflation-adjusted dollars) -- - Male -- - Worked full-time, year-round in the past 12 months (dollars)",41341,2092.26,1067.48,2.58
Henderson ,HD01_VD05,2010,"Estimate; Median earnings in the past 12 months (in 2010 inflation-adjusted dollars) -- - Male -- - Worked full-time, year-round in the past 12 months (dollars)",41964,5187.74,2646.81,6.31
Iredell ,HD01_VD05,2010,"Estimate; Median earnings in the past 12 months (in 2010 inflation-adjusted dollars) -- - Male -- - Worked full-time, year-round in the past 12 months (dollars)",47262,7419.4,3785.41,8.01
Johnston ,HD01_VD05,2010,"Estimate; Median earnings in the past 12 months (in 2010 inflation-adjusted dollars) -- - Male -- - Worked full-time, year-round in the past 12 months (dollars)",41670,2237.62,1141.64,2.74
Lincoln ,HD01_VD05,2010,"Estimate; Median earnings in the past 12 months (in 2010 inflation-adjusted dollars) -- - Male -- - Worked full-time, year-round in the past 12 months (dollars)",41441,3686.47,1880.85,4.54
Mecklenburg ,HD01_VD05,2010,"Estimate; Median earnings in the past 12 months (in 2010 inflation-adjusted dollars) -- - Male -- - Worked full-time, year-round in the past 12 months (dollars)",47747,2728.51,1392.1,2.92
Moore ,HD01_VD05,2010,"Estimate; Median earnings in the past 12 months (in 2010 inflation-adjusted dollars) -- - Male -- - Worked full-time, year-round in the past 12 months (dollars)",50395,8578.72,4376.9,8.69
Nash ,HD01_VD05,2010,"Estimate; Median earnings in the past 12 months (in 2010 inflation-adjusted dollars) -- - Male -- - Worked full-time, year-round in the past 12 months (dollars)",40339,5389.11,2749.55,6.82
New Hanover ,HD01_VD05,2010,"Estimate; Median earnings in the past 12 months (in 2010 inflation-adjusted dollars) -- - Male -- - Worked full-time, year-round in the past 12 months (dollars)",41124,3833.02,1955.62,4.76
Onslow ,HD01_VD05,2010,"Estimate; Median earnings in the past 12 months (in 2010 inflation-adjusted dollars) -- - Male -- - Worked full-time, year-round in the past 12 months (dollars)",32432,5097.19,2600.61,8.02
Orange ,HD01_VD05,2010,"Estimate; Median earnings in the past 12 months (in 2010 inflation-adjusted dollars) -- - Male -- - Worked full-time, year-round in the past 12 months (dollars)",49937,6640.17,3387.84,6.78
Pitt ,HD01_VD05,2010,"Estimate; Median earnings in the past 12 months (in 2010 inflation-adjusted dollars) -- - Male -- - Worked full-time, year-round in the past 12 months (dollars)",41206,3001.36,1531.31,3.72
Randolph ,HD01_VD05,2010,"Estimate; Median earnings in the past 12 months (in 2010 inflation-adjusted dollars) -- - Male -- - Worked full-time, year-round in the past 12 months (dollars)",41757,1764.6,900.31,2.16
Robeson ,HD01_VD05,2010,"Estimate; Median earnings in the past 12 months (in 2010 inflation-adjusted dollars) -- - Male -- - Worked full-time, year-round in the past 12 months (dollars)",32376,3332.6,1700.31,5.25
Rockingham ,HD01_VD05,2010,"Estimate; Median earnings in the past 12 months (in 2010 inflation-adjusted dollars) -- - Male -- - Worked full-time, year-round in the past 12 months (dollars)",37108,3470.81,1770.82,4.77
Rowan ,HD01_VD05,2010,"Estimate; Median earnings in the past 12 months (in 2010 inflation-adjusted dollars) -- - Male -- - Worked full-time, year-round in the past 12 months (dollars)",37252,5468.94,2790.28,7.49
Rutherford ,HD01_VD05,2010,"Estimate; Median earnings in the past 12 months (in 2010 inflation-adjusted dollars) -- - Male -- - Worked full-time, year-round in the past 12 months (dollars)",38622,6310.13,3219.45,8.34
Surry ,HD01_VD05,2010,"Estimate; Median earnings in the past 12 months (in 2010 inflation-adjusted dollars) -- - Male -- - Worked full-time, year-round in the past 12 months (dollars)",35327,8344,4257.14,12.05
Union ,HD01_VD05,2010,"Estimate; Median earnings in the past 12 months (in 2010 inflation-adjusted dollars) -- - Male -- - Worked full-time, year-round in the past 12 months (dollars)",50608,1963.57,1001.82,1.98
Wake ,HD01_VD05,2010,"Estimate; Median earnings in the past 12 months (in 2010 inflation-adjusted dollars) -- - Male -- - Worked full-time, year-round in the past 12 months (dollars)",55801,2035.06,1038.3,1.86
Wayne ,HD01_VD05,2010,"Estimate; Median earnings in the past 12 months (in 2010 inflation-adjusted dollars) -- - Male -- - Worked full-time, year-round in the past 12 months (dollars)",35388,3138.38,1601.21,4.52
Wilkes ,HD01_VD05,2010,"Estimate; Median earnings in the past 12 months (in 2010 inflation-adjusted dollars) -- - Male -- - Worked full-time, year-round in the past 12 months (dollars)",32237,7449.19,3800.61,11.79
Wilson ,HD01_VD05,2010,"Estimate; Median earnings in the past 12 months (in 2010 inflation-adjusted dollars) -- - Male -- - Worked full-time, year-round in the past 12 months (dollars)",37649,4223.83,2155.02,5.72
United States,HD01_VD06,2010,Estimate; Median earnings in the past 12 months (in 2010 inflation-adjusted dollars) -- - Male -- - Other (dollars),10985,47.66,24.32,0.22
North Carolina,HD01_VD06,2010,Estimate; Median earnings in the past 12 months (in 2010 inflation-adjusted dollars) -- - Male -- - Other (dollars),10201,291.91,148.93,1.46
Alamance ,HD01_VD06,2010,Estimate; Median earnings in the past 12 months (in 2010 inflation-adjusted dollars) -- - Male -- - Other (dollars),10632,2049.36,1045.59,9.83
Brunswick ,HD01_VD06,2010,Estimate; Median earnings in the past 12 months (in 2010 inflation-adjusted dollars) -- - Male -- - Other (dollars),10664,3750.81,1913.68,17.95
Buncombe ,HD01_VD06,2010,Estimate; Median earnings in the past 12 months (in 2010 inflation-adjusted dollars) -- - Male -- - Other (dollars),11844,1545.36,788.45,6.66
Burke ,HD01_VD06,2010,Estimate; Median earnings in the past 12 months (in 2010 inflation-adjusted dollars) -- - Male -- - Other (dollars),8545,3243.23,1654.71,19.36
Cabarrus ,HD01_VD06,2010,Estimate; Median earnings in the past 12 months (in 2010 inflation-adjusted dollars) -- - Male -- - Other (dollars),15278,4995.91,2548.93,16.68
Caldwell ,HD01_VD06,2010,Estimate; Median earnings in the past 12 months (in 2010 inflation-adjusted dollars) -- - Male -- - Other (dollars),11133,2591.49,1322.19,11.88
Carteret ,HD01_VD06,2010,Estimate; Median earnings in the past 12 months (in 2010 inflation-adjusted dollars) -- - Male -- - Other (dollars),9288,2703.49,1379.33,14.85
Catawba ,HD01_VD06,2010,Estimate; Median earnings in the past 12 months (in 2010 inflation-adjusted dollars) -- - Male -- - Other (dollars),8882,1848,942.86,10.62
Cleveland ,HD01_VD06,2010,Estimate; Median earnings in the past 12 months (in 2010 inflation-adjusted dollars) -- - Male -- - Other (dollars),8042,3293.28,1680.24,20.89
Craven ,HD01_VD06,2010,Estimate; Median earnings in the past 12 months (in 2010 inflation-adjusted dollars) -- - Male -- - Other (dollars),7444,2245.96,1145.9,15.39
Cumberland ,HD01_VD06,2010,Estimate; Median earnings in the past 12 months (in 2010 inflation-adjusted dollars) -- - Male -- - Other (dollars),8159,1870.64,954.41,11.7
Davidson ,HD01_VD06,2010,Estimate; Median earnings in the past 12 months (in 2010 inflation-adjusted dollars) -- - Male -- - Other (dollars),10448,2125.62,1084.5,10.38
Durham ,HD01_VD06,2010,Estimate; Median earnings in the past 12 months (in 2010 inflation-adjusted dollars) -- - Male -- - Other (dollars),10490,1624,828.57,7.9
Forsyth ,HD01_VD06,2010,Estimate; Median earnings in the past 12 months (in 2010 inflation-adjusted dollars) -- - Male -- - Other (dollars),10113,1806.3,921.58,9.11
Gaston ,HD01_VD06,2010,Estimate; Median earnings in the past 12 months (in 2010 inflation-adjusted dollars) -- - Male -- - Other (dollars),7456,3522.04,1796.96,24.1
Guilford ,HD01_VD06,2010,Estimate; Median earnings in the past 12 months (in 2010 inflation-adjusted dollars) -- - Male -- - Other (dollars),10435,1240.34,632.83,6.06
Harnett ,HD01_VD06,2010,Estimate; Median earnings in the past 12 months (in 2010 inflation-adjusted dollars) -- - Male -- - Other (dollars),9534,3390.98,1730.09,18.15
Henderson ,HD01_VD06,2010,Estimate; Median earnings in the past 12 months (in 2010 inflation-adjusted dollars) -- - Male -- - Other (dollars),8375,2326.98,1187.23,14.18
Iredell ,HD01_VD06,2010,Estimate; Median earnings in the past 12 months (in 2010 inflation-adjusted dollars) -- - Male -- - Other (dollars),12435,3961.7,2021.28,16.25
Johnston ,HD01_VD06,2010,Estimate; Median earnings in the past 12 months (in 2010 inflation-adjusted dollars) -- - Male -- - Other (dollars),11503,1651.4,842.55,7.32
Lincoln ,HD01_VD06,2010,Estimate; Median earnings in the past 12 months (in 2010 inflation-adjusted dollars) -- - Male -- - Other (dollars),10950,3363.57,1716.11,15.67
Mecklenburg ,HD01_VD06,2010,Estimate; Median earnings in the past 12 months (in 2010 inflation-adjusted dollars) -- - Male -- - Other (dollars),12313,1160.51,592.1,4.81
Moore ,HD01_VD06,2010,Estimate; Median earnings in the past 12 months (in 2010 inflation-adjusted dollars) -- - Male -- - Other (dollars),8637,3619.74,1846.81,21.38
Nash ,HD01_VD06,2010,Estimate; Median earnings in the past 12 months (in 2010 inflation-adjusted dollars) -- - Male -- - Other (dollars),10270,2064.85,1053.49,10.26
New Hanover ,HD01_VD06,2010,Estimate; Median earnings in the past 12 months (in 2010 inflation-adjusted dollars) -- - Male -- - Other (dollars),10656,1202.21,613.37,5.76
Onslow ,HD01_VD06,2010,Estimate; Median earnings in the past 12 months (in 2010 inflation-adjusted dollars) -- - Male -- - Other (dollars),8381,1964.77,1002.43,11.96
Orange ,HD01_VD06,2010,Estimate; Median earnings in the past 12 months (in 2010 inflation-adjusted dollars) -- - Male -- - Other (dollars),10422,2840.51,1449.24,13.91
Pitt ,HD01_VD06,2010,Estimate; Median earnings in the past 12 months (in 2010 inflation-adjusted dollars) -- - Male -- - Other (dollars),6755,3064.51,1563.53,23.15
Randolph ,HD01_VD06,2010,Estimate; Median earnings in the past 12 months (in 2010 inflation-adjusted dollars) -- - Male -- - Other (dollars),11592,3088.34,1575.68,13.59
Robeson ,HD01_VD06,2010,Estimate; Median earnings in the past 12 months (in 2010 inflation-adjusted dollars) -- - Male -- - Other (dollars),8045,1979.06,1009.72,12.55
Rockingham ,HD01_VD06,2010,Estimate; Median earnings in the past 12 months (in 2010 inflation-adjusted dollars) -- - Male -- - Other (dollars),9661,2322.21,1184.8,12.26
Rowan ,HD01_VD06,2010,Estimate; Median earnings in the past 12 months (in 2010 inflation-adjusted dollars) -- - Male -- - Other (dollars),10279,3088.34,1575.68,15.33
Rutherford ,HD01_VD06,2010,Estimate; Median earnings in the past 12 months (in 2010 inflation-adjusted dollars) -- - Male -- - Other (dollars),10455,2220.94,1133.13,10.84
Surry ,HD01_VD06,2010,Estimate; Median earnings in the past 12 months (in 2010 inflation-adjusted dollars) -- - Male -- - Other (dollars),8461,2371.06,1209.72,14.3
Union ,HD01_VD06,2010,Estimate; Median earnings in the past 12 months (in 2010 inflation-adjusted dollars) -- - Male -- - Other (dollars),12636,2226.89,1136.17,8.99
Wake ,HD01_VD06,2010,Estimate; Median earnings in the past 12 months (in 2010 inflation-adjusted dollars) -- - Male -- - Other (dollars),10607,798.3,407.3,3.84
Wayne ,HD01_VD06,2010,Estimate; Median earnings in the past 12 months (in 2010 inflation-adjusted dollars) -- - Male -- - Other (dollars),7450,4565.79,2329.48,31.27
Wilkes ,HD01_VD06,2010,Estimate; Median earnings in the past 12 months (in 2010 inflation-adjusted dollars) -- - Male -- - Other (dollars),8917,3741.28,1908.82,21.41
Wilson ,HD01_VD06,2010,Estimate; Median earnings in the past 12 months (in 2010 inflation-adjusted dollars) -- - Male -- - Other (dollars),7953,4568.17,2330.7,29.31
United States,HD01_VD08,2010,Estimate; Median earnings in the past 12 months (in 2010 inflation-adjusted dollars) -- - Female -- - Total (dollars),24157,91.74,46.81,0.19
North Carolina,HD01_VD08,2010,Estimate; Median earnings in the past 12 months (in 2010 inflation-adjusted dollars) -- - Female -- - Total (dollars),22777,425.36,217.02,0.95
Alamance ,HD01_VD08,2010,Estimate; Median earnings in the past 12 months (in 2010 inflation-adjusted dollars) -- - Female -- - Total (dollars),21298,2981.11,1520.97,7.14
Brunswick ,HD01_VD08,2010,Estimate; Median earnings in the past 12 months (in 2010 inflation-adjusted dollars) -- - Female -- - Total (dollars),20494,1934.98,987.23,4.82
Buncombe ,HD01_VD08,2010,Estimate; Median earnings in the past 12 months (in 2010 inflation-adjusted dollars) -- - Female -- - Total (dollars),21473,1498.89,764.74,3.56
Burke ,HD01_VD08,2010,Estimate; Median earnings in the past 12 months (in 2010 inflation-adjusted dollars) -- - Female -- - Total (dollars),21372,2017.19,1029.18,4.82
Cabarrus ,HD01_VD08,2010,Estimate; Median earnings in the past 12 months (in 2010 inflation-adjusted dollars) -- - Female -- - Total (dollars),25888,2472.34,1261.4,4.87
Caldwell ,HD01_VD08,2010,Estimate; Median earnings in the past 12 months (in 2010 inflation-adjusted dollars) -- - Female -- - Total (dollars),20813,3379.06,1724.01,8.28
Carteret ,HD01_VD08,2010,Estimate; Median earnings in the past 12 months (in 2010 inflation-adjusted dollars) -- - Female -- - Total (dollars),21064,4304.85,2196.35,10.43
Catawba ,HD01_VD08,2010,Estimate; Median earnings in the past 12 months (in 2010 inflation-adjusted dollars) -- - Female -- - Total (dollars),21515,1755.06,895.44,4.16
Cleveland ,HD01_VD08,2010,Estimate; Median earnings in the past 12 months (in 2010 inflation-adjusted dollars) -- - Female -- - Total (dollars),18648,2666.55,1360.48,7.3
Craven ,HD01_VD08,2010,Estimate; Median earnings in the past 12 months (in 2010 inflation-adjusted dollars) -- - Female -- - Total (dollars),17128,3617.36,1845.59,10.78
Cumberland ,HD01_VD08,2010,Estimate; Median earnings in the past 12 months (in 2010 inflation-adjusted dollars) -- - Female -- - Total (dollars),21330,1454.81,742.25,3.48
Davidson ,HD01_VD08,2010,Estimate; Median earnings in the past 12 months (in 2010 inflation-adjusted dollars) -- - Female -- - Total (dollars),25400,2163.74,1103.95,4.35
Durham ,HD01_VD08,2010,Estimate; Median earnings in the past 12 months (in 2010 inflation-adjusted dollars) -- - Female -- - Total (dollars),26618,2269.79,1158.06,4.35
Forsyth ,HD01_VD08,2010,Estimate; Median earnings in the past 12 months (in 2010 inflation-adjusted dollars) -- - Female -- - Total (dollars),25929,1055.66,538.6,2.08
Gaston ,HD01_VD08,2010,Estimate; Median earnings in the past 12 months (in 2010 inflation-adjusted dollars) -- - Female -- - Total (dollars),22159,2119.66,1081.46,4.88
Guilford ,HD01_VD08,2010,Estimate; Median earnings in the past 12 months (in 2010 inflation-adjusted dollars) -- - Female -- - Total (dollars),23182,1512,771.43,3.33
Harnett ,HD01_VD08,2010,Estimate; Median earnings in the past 12 months (in 2010 inflation-adjusted dollars) -- - Female -- - Total (dollars),18090,3137.19,1600.61,8.85
Henderson ,HD01_VD08,2010,Estimate; Median earnings in the past 12 months (in 2010 inflation-adjusted dollars) -- - Female -- - Total (dollars),21657,2111.32,1077.2,4.97
Iredell ,HD01_VD08,2010,Estimate; Median earnings in the past 12 months (in 2010 inflation-adjusted dollars) -- - Female -- - Total (dollars),22367,2436.6,1243.16,5.56
Johnston ,HD01_VD08,2010,Estimate; Median earnings in the past 12 months (in 2010 inflation-adjusted dollars) -- - Female -- - Total (dollars),24554,2764.26,1410.34,5.74
Lincoln ,HD01_VD08,2010,Estimate; Median earnings in the past 12 months (in 2010 inflation-adjusted dollars) -- - Female -- - Total (dollars),22411,5045.96,2574.47,11.49
Mecklenburg ,HD01_VD08,2010,Estimate; Median earnings in the past 12 months (in 2010 inflation-adjusted dollars) -- - Female -- - Total (dollars),28204,2099.4,1071.12,3.8
Moore ,HD01_VD08,2010,Estimate; Median earnings in the past 12 months (in 2010 inflation-adjusted dollars) -- - Female -- - Total (dollars),20875,4281.02,2184.19,10.46
Nash ,HD01_VD08,2010,Estimate; Median earnings in the past 12 months (in 2010 inflation-adjusted dollars) -- - Female -- - Total (dollars),26271,2083.91,1063.22,4.05
New Hanover ,HD01_VD08,2010,Estimate; Median earnings in the past 12 months (in 2010 inflation-adjusted dollars) -- - Female -- - Total (dollars),23343,3150.3,1607.3,6.89
Onslow ,HD01_VD08,2010,Estimate; Median earnings in the past 12 months (in 2010 inflation-adjusted dollars) -- - Female -- - Total (dollars),16941,2579.57,1316.11,7.77
Orange ,HD01_VD08,2010,Estimate; Median earnings in the past 12 months (in 2010 inflation-adjusted dollars) -- - Female -- - Total (dollars),21357,2982.3,1521.58,7.12
Pitt ,HD01_VD08,2010,Estimate; Median earnings in the past 12 months (in 2010 inflation-adjusted dollars) -- - Female -- - Total (dollars),21110,1954.04,996.96,4.72
Randolph ,HD01_VD08,2010,Estimate; Median earnings in the past 12 months (in 2010 inflation-adjusted dollars) -- - Female -- - Total (dollars),19750,1675.23,854.71,4.33
Robeson ,HD01_VD08,2010,Estimate; Median earnings in the past 12 months (in 2010 inflation-adjusted dollars) -- - Female -- - Total (dollars),19913,3064.51,1563.53,7.85
