year,characteristics,item,subcategory,expense
2014,Four people in consumer unit,"Apparel, Boys, 2 to 15",Apparel and services,227
2014,Five or more people in consumer unit,"Apparel, Boys, 2 to 15",Apparel and services,321
2014,One person consumer unit,Footwear,Apparel and services,144
2014,Two people in consumer unit,Footwear,Apparel and services,346
2014,Three people in consumer unit,Footwear,Apparel and services,413
2014,Four people in consumer unit,Footwear,Apparel and services,525
2014,Five or more people in consumer unit,Footwear,Apparel and services,633
2014,One person consumer unit,"Apparel, Girls, 2 to 15",Apparel and services,14
2014,Two people in consumer unit,"Apparel, Girls, 2 to 15",Apparel and services,52
2014,Three people in consumer unit,"Apparel, Girls, 2 to 15",Apparel and services,163
2014,Four people in consumer unit,"Apparel, Girls, 2 to 15",Apparel and services,278
2014,Five or more people in consumer unit,"Apparel, Girls, 2 to 15",Apparel and services,307
2014,One person consumer unit,"Apparel, Children under 2",Apparel and services,9
2014,Two people in consumer unit,"Apparel, Children under 2",Apparel and services,36
2014,Three people in consumer unit,"Apparel, Children under 2",Apparel and services,122
2014,Four people in consumer unit,"Apparel, Children under 2",Apparel and services,132
2014,Five or more people in consumer unit,"Apparel, Children under 2",Apparel and services,168
2014,One person consumer unit,"Apparel, Men and boys",Apparel and services,151
2014,Two people in consumer unit,"Apparel, Men and boys",Apparel and services,342
2014,Three people in consumer unit,"Apparel, Men and boys",Apparel and services,421
2014,Four people in consumer unit,"Apparel, Men and boys",Apparel and services,560
2014,Five or more people in consumer unit,"Apparel, Men and boys",Apparel and services,647
2014,One person consumer unit,"Apparel, Men, 16 and over",Apparel and services,140
2014,Two people in consumer unit,"Apparel, Men, 16 and over",Apparel and services,304
2014,Three people in consumer unit,"Apparel, Men, 16 and over",Apparel and services,314
2014,Four people in consumer unit,"Apparel, Men, 16 and over",Apparel and services,337
2014,Five or more people in consumer unit,"Apparel, Men, 16 and over",Apparel and services,333
2014,One person consumer unit,Other apparel products and services,Apparel and services,109
2014,Two people in consumer unit,Other apparel products and services,Apparel and services,217
2014,Three people in consumer unit,Other apparel products and services,Apparel and services,317
2014,Four people in consumer unit,Other apparel products and services,Apparel and services,296
2014,Five or more people in consumer unit,Other apparel products and services,Apparel and services,164
2014,One person consumer unit,"Apparel, Women and girls",Apparel and services,303
2014,Two people in consumer unit,"Apparel, Women and girls",Apparel and services,625
2014,Three people in consumer unit,"Apparel, Women and girls",Apparel and services,758
2014,Four people in consumer unit,"Apparel, Women and girls",Apparel and services,883
2014,Five or more people in consumer unit,"Apparel, Women and girls",Apparel and services,940
2014,One person consumer unit,"Apparel, Women, 16 and over",Apparel and services,284
2014,Two people in consumer unit,"Apparel, Women, 16 and over",Apparel and services,563
2014,Three people in consumer unit,"Apparel, Women, 16 and over",Apparel and services,598
2014,Four people in consumer unit,"Apparel, Women, 16 and over",Apparel and services,621
2014,Five or more people in consumer unit,"Apparel, Women, 16 and over",Apparel and services,651
2015,One person consumer unit,Apparel and services,Apparel and services,859
2015,Two people in consumer unit,Apparel and services,Apparel and services,1432
2015,Three people in consumer unit,Apparel and services,Apparel and services,2e3
2015,Four people in consumer unit,Apparel and services,Apparel and services,3041
2015,Five or more people in consumer unit,Apparel and services,Apparel and services,2481
2015,One person consumer unit,"Apparel, Boys, 2 to 15",Apparel and services,11
2015,Two people in consumer unit,"Apparel, Boys, 2 to 15",Apparel and services,35
2015,Three people in consumer unit,"Apparel, Boys, 2 to 15",Apparel and services,144
2015,Four people in consumer unit,"Apparel, Boys, 2 to 15",Apparel and services,223
2015,Five or more people in consumer unit,"Apparel, Boys, 2 to 15",Apparel and services,283
2015,One person consumer unit,Footwear,Apparel and services,158
2015,Two people in consumer unit,Footwear,Apparel and services,284
2015,Three people in consumer unit,Footwear,Apparel and services,420
2015,Four people in consumer unit,Footwear,Apparel and services,677
2015,Five or more people in consumer unit,Footwear,Apparel and services,625
2015,One person consumer unit,"Apparel, Girls, 2 to 15",Apparel and services,7
2015,Two people in consumer unit,"Apparel, Girls, 2 to 15",Apparel and services,37
2015,Three people in consumer unit,"Apparel, Girls, 2 to 15",Apparel and services,98
2015,Four people in consumer unit,"Apparel, Girls, 2 to 15",Apparel and services,220
2015,Five or more people in consumer unit,"Apparel, Girls, 2 to 15",Apparel and services,302
2015,One person consumer unit,"Apparel, Children under 2",Apparel and services,18
2015,Two people in consumer unit,"Apparel, Children under 2",Apparel and services,41
2015,Three people in consumer unit,"Apparel, Children under 2",Apparel and services,150
2015,Four people in consumer unit,"Apparel, Children under 2",Apparel and services,208
2015,Five or more people in consumer unit,"Apparel, Children under 2",Apparel and services,187
2015,One person consumer unit,"Apparel, Men and boys",Apparel and services,180
2015,Two people in consumer unit,"Apparel, Men and boys",Apparel and services,318
2015,Three people in consumer unit,"Apparel, Men and boys",Apparel and services,502
2015,Four people in consumer unit,"Apparel, Men and boys",Apparel and services,586
2015,Five or more people in consumer unit,"Apparel, Men and boys",Apparel and services,669
2015,One person consumer unit,"Apparel, Men, 16 and over",Apparel and services,164
2015,Two people in consumer unit,"Apparel, Men, 16 and over",Apparel and services,277
2015,Three people in consumer unit,"Apparel, Men, 16 and over",Apparel and services,363
2015,Four people in consumer unit,"Apparel, Men, 16 and over",Apparel and services,377
2015,Five or more people in consumer unit,"Apparel, Men, 16 and over",Apparel and services,406
2015,One person consumer unit,Other apparel products and services,Apparel and services,137
2015,Two people in consumer unit,Other apparel products and services,Apparel and services,202
2015,Three people in consumer unit,Other apparel products and services,Apparel and services,192
2015,Four people in consumer unit,Other apparel products and services,Apparel and services,585
2015,Five or more people in consumer unit,Other apparel products and services,Apparel and services,208
2015,One person consumer unit,"Apparel, Women and girls",Apparel and services,357
2015,Two people in consumer unit,"Apparel, Women and girls",Apparel and services,578
2015,Three people in consumer unit,"Apparel, Women and girls",Apparel and services,751
2015,Four people in consumer unit,"Apparel, Women and girls",Apparel and services,977
2015,Five or more people in consumer unit,"Apparel, Women and girls",Apparel and services,825
2015,One person consumer unit,"Apparel, Women, 16 and over",Apparel and services,351
2015,Two people in consumer unit,"Apparel, Women, 16 and over",Apparel and services,542
2015,Three people in consumer unit,"Apparel, Women, 16 and over",Apparel and services,654
2015,Four people in consumer unit,"Apparel, Women, 16 and over",Apparel and services,753
2015,Five or more people in consumer unit,"Apparel, Women, 16 and over",Apparel and services,516
2016,One person consumer unit,Apparel and services,Apparel and services,967
2016,Two people in consumer unit,Apparel and services,Apparel and services,1547
2016,Three people in consumer unit,Apparel and services,Apparel and services,2014
2016,Four people in consumer unit,Apparel and services,Apparel and services,2698
2016,Five or more people in consumer unit,Apparel and services,Apparel and services,2757
2016,One person consumer unit,"Apparel, Boys, 2 to 15",Apparel and services,13
2016,Two people in consumer unit,"Apparel, Boys, 2 to 15",Apparel and services,49
2016,Three people in consumer unit,"Apparel, Boys, 2 to 15",Apparel and services,101
2016,Four people in consumer unit,"Apparel, Boys, 2 to 15",Apparel and services,243
2016,Five or more people in consumer unit,"Apparel, Boys, 2 to 15",Apparel and services,369
2016,One person consumer unit,Footwear,Apparel and services,208
2016,Two people in consumer unit,Footwear,Apparel and services,326
2016,Three people in consumer unit,Footwear,Apparel and services,459
2016,Four people in consumer unit,Footwear,Apparel and services,494
2016,Five or more people in consumer unit,Footwear,Apparel and services,635
2016,One person consumer unit,"Apparel, Girls, 2 to 15",Apparel and services,18
2016,Two people in consumer unit,"Apparel, Girls, 2 to 15",Apparel and services,40
2016,Three people in consumer unit,"Apparel, Girls, 2 to 15",Apparel and services,101
2016,Four people in consumer unit,"Apparel, Girls, 2 to 15",Apparel and services,229
2016,Five or more people in consumer unit,"Apparel, Girls, 2 to 15",Apparel and services,261
2016,One person consumer unit,"Apparel, Children under 2",Apparel and services,11
2016,Two people in consumer unit,"Apparel, Children under 2",Apparel and services,32
2016,Three people in consumer unit,"Apparel, Children under 2",Apparel and services,145
2016,Four people in consumer unit,"Apparel, Children under 2",Apparel and services,134
2016,Five or more people in consumer unit,"Apparel, Children under 2",Apparel and services,179
2016,One person consumer unit,"Apparel, Men and boys",Apparel and services,191
2016,Two people in consumer unit,"Apparel, Men and boys",Apparel and services,344
2016,Three people in consumer unit,"Apparel, Men and boys",Apparel and services,402
2016,Four people in consumer unit,"Apparel, Men and boys",Apparel and services,683
2016,Five or more people in consumer unit,"Apparel, Men and boys",Apparel and services,790
2016,One person consumer unit,"Apparel, Men, 16 and over",Apparel and services,177
2016,Two people in consumer unit,"Apparel, Men, 16 and over",Apparel and services,294
2016,Three people in consumer unit,"Apparel, Men, 16 and over",Apparel and services,302
2016,Four people in consumer unit,"Apparel, Men, 16 and over",Apparel and services,446
2016,Five or more people in consumer unit,"Apparel, Men, 16 and over",Apparel and services,434
2016,One person consumer unit,Other apparel products and services,Apparel and services,174
2016,Two people in consumer unit,Other apparel products and services,Apparel and services,258
2016,Three people in consumer unit,Other apparel products and services,Apparel and services,239
2016,Four people in consumer unit,Other apparel products and services,Apparel and services,467
2016,Five or more people in consumer unit,Other apparel products and services,Apparel and services,272
2016,One person consumer unit,"Apparel, Women and girls",Apparel and services,383
2016,Two people in consumer unit,"Apparel, Women and girls",Apparel and services,586
2016,Three people in consumer unit,"Apparel, Women and girls",Apparel and services,772
2016,Four people in consumer unit,"Apparel, Women and girls",Apparel and services,927
2016,Five or more people in consumer unit,"Apparel, Women and girls",Apparel and services,876
2016,One person consumer unit,"Apparel, Women, 16 and over",Apparel and services,366
2016,Two people in consumer unit,"Apparel, Women, 16 and over",Apparel and services,547
2016,Three people in consumer unit,"Apparel, Women, 16 and over",Apparel and services,671
2016,Four people in consumer unit,"Apparel, Women, 16 and over",Apparel and services,698
2016,Five or more people in consumer unit,"Apparel, Women, 16 and over",Apparel and services,614
2017,One person consumer unit,Apparel and services,Apparel and services,920
2017,Two people in consumer unit,Apparel and services,Apparel and services,1664
2017,Three people in consumer unit,Apparel and services,Apparel and services,1774
2017,Four people in consumer unit,Apparel and services,Apparel and services,2548
2017,Five or more people in consumer unit,Apparel and services,Apparel and services,2701
2017,One person consumer unit,"Apparel, Boys, 2 to 15",Apparel and services,11
2017,Two people in consumer unit,"Apparel, Boys, 2 to 15",Apparel and services,33
2017,Three people in consumer unit,"Apparel, Boys, 2 to 15",Apparel and services,98
2017,Four people in consumer unit,"Apparel, Boys, 2 to 15",Apparel and services,222
2017,Five or more people in consumer unit,"Apparel, Boys, 2 to 15",Apparel and services,293
2017,One person consumer unit,Footwear,Apparel and services,183
2017,Two people in consumer unit,Footwear,Apparel and services,317
2017,Three people in consumer unit,Footwear,Apparel and services,363
2017,Four people in consumer unit,Footwear,Apparel and services,568
2017,Five or more people in consumer unit,Footwear,Apparel and services,683
2017,One person consumer unit,"Apparel, Girls, 2 to 15",Apparel and services,17
2017,Two people in consumer unit,"Apparel, Girls, 2 to 15",Apparel and services,44
2017,Three people in consumer unit,"Apparel, Girls, 2 to 15",Apparel and services,148
2017,Four people in consumer unit,"Apparel, Girls, 2 to 15",Apparel and services,312
2017,Five or more people in consumer unit,"Apparel, Girls, 2 to 15",Apparel and services,396
2017,One person consumer unit,"Apparel, Children under 2",Apparel and services,14
2017,Two people in consumer unit,"Apparel, Children under 2",Apparel and services,42
2017,Three people in consumer unit,"Apparel, Children under 2",Apparel and services,134
2017,Four people in consumer unit,"Apparel, Children under 2",Apparel and services,189
2017,Five or more people in consumer unit,"Apparel, Children under 2",Apparel and services,185
2017,One person consumer unit,"Apparel, Men and boys",Apparel and services,209
2017,Two people in consumer unit,"Apparel, Men and boys",Apparel and services,370
2017,Three people in consumer unit,"Apparel, Men and boys",Apparel and services,459
2017,Four people in consumer unit,"Apparel, Men and boys",Apparel and services,669
2017,Five or more people in consumer unit,"Apparel, Men and boys",Apparel and services,587
2017,One person consumer unit,"Apparel, Men, 16 and over",Apparel and services,201
2017,Two people in consumer unit,"Apparel, Men, 16 and over",Apparel and services,340
2017,Three people in consumer unit,"Apparel, Men, 16 and over",Apparel and services,362
2017,Four people in consumer unit,"Apparel, Men, 16 and over",Apparel and services,443
2017,Five or more people in consumer unit,"Apparel, Men, 16 and over",Apparel and services,284
2017,One person consumer unit,Other apparel products and services,Apparel and services,164
2017,Two people in consumer unit,Other apparel products and services,Apparel and services,292
2017,Three people in consumer unit,Other apparel products and services,Apparel and services,186
2017,Four people in consumer unit,Other apparel products and services,Apparel and services,237
2017,Five or more people in consumer unit,Other apparel products and services,Apparel and services,247
2017,One person consumer unit,"Apparel, Women and girls",Apparel and services,347
2017,Two people in consumer unit,"Apparel, Women and girls",Apparel and services,641
2017,Three people in consumer unit,"Apparel, Women and girls",Apparel and services,634
2017,Four people in consumer unit,"Apparel, Women and girls",Apparel and services,888
2017,Five or more people in consumer unit,"Apparel, Women and girls",Apparel and services,1005
2017,One person consumer unit,"Apparel, Women, 16 and over",Apparel and services,322
2017,Two people in consumer unit,"Apparel, Women, 16 and over",Apparel and services,583
2017,Three people in consumer unit,"Apparel, Women, 16 and over",Apparel and services,491
2017,Four people in consumer unit,"Apparel, Women, 16 and over",Apparel and services,600
2017,Five or more people in consumer unit,"Apparel, Women, 16 and over",Apparel and services,644
2006,One person consumer unit,Health insurance,Healthcare,944
2006,Two people in consumer unit,Health insurance,Healthcare,1968
2006,Three people in consumer unit,Health insurance,Healthcare,1486
2006,Four people in consumer unit,Health insurance,Healthcare,1507
2006,Five or more people in consumer unit,Health insurance,Healthcare,1249
2007,One person consumer unit,Health insurance,Healthcare,990
2007,Two people in consumer unit,Health insurance,Healthcare,1997
2007,Three people in consumer unit,Health insurance,Healthcare,1558
2007,Four people in consumer unit,Health insurance,Healthcare,1677
2007,Five or more people in consumer unit,Health insurance,Healthcare,1492
2008,One person consumer unit,Health insurance,Healthcare,1031
2008,Two people in consumer unit,Health insurance,Healthcare,2123
2008,Three people in consumer unit,Health insurance,Healthcare,1555
2008,Four people in consumer unit,Health insurance,Healthcare,1637
2008,Five or more people in consumer unit,Health insurance,Healthcare,1471
2009,One person consumer unit,Health insurance,Healthcare,1133
2009,Two people in consumer unit,Health insurance,Healthcare,2260
2009,Three people in consumer unit,Health insurance,Healthcare,1832
2009,Four people in consumer unit,Health insurance,Healthcare,1717
2009,Five or more people in consumer unit,Health insurance,Healthcare,1578
2010,One person consumer unit,Health insurance,Healthcare,1155
2010,Two people in consumer unit,Health insurance,Healthcare,2377
2010,Three people in consumer unit,Health insurance,Healthcare,1868
2010,Four people in consumer unit,Health insurance,Healthcare,1890
2010,Five or more people in consumer unit,Health insurance,Healthcare,1607
2011,One person consumer unit,Health insurance,Healthcare,1183
2011,Two people in consumer unit,Health insurance,Healthcare,2353
2011,Three people in consumer unit,Health insurance,Healthcare,2046
2011,Four people in consumer unit,Health insurance,Healthcare,1932
2011,Five or more people in consumer unit,Health insurance,Healthcare,1787
2012,One person consumer unit,Health insurance,Healthcare,1146
2012,Two people in consumer unit,Health insurance,Healthcare,2366
2012,Three people in consumer unit,Health insurance,Healthcare,2015
2012,Four people in consumer unit,Health insurance,Healthcare,2032
2012,Five or more people in consumer unit,Health insurance,Healthcare,1910
2013,One person consumer unit,Health insurance,Healthcare,1346
2013,Two people in consumer unit,Health insurance,Healthcare,2690
2013,Three people in consumer unit,Health insurance,Healthcare,2305
2013,Four people in consumer unit,Health insurance,Healthcare,2294
2013,Five or more people in consumer unit,Health insurance,Healthcare,2004
2014,One person consumer unit,Health insurance,Healthcare,1520
2014,Two people in consumer unit,Health insurance,Healthcare,3470
2014,Three people in consumer unit,Health insurance,Healthcare,3002
2014,Four people in consumer unit,Health insurance,Healthcare,3150
2014,Five or more people in consumer unit,Health insurance,Healthcare,2867
2015,One person consumer unit,Health insurance,Healthcare,1779
2015,Two people in consumer unit,Health insurance,Healthcare,3706
2015,Three people in consumer unit,Health insurance,Healthcare,3311
2015,Four people in consumer unit,Health insurance,Healthcare,3367
2015,Five or more people in consumer unit,Health insurance,Healthcare,2973
2016,One person consumer unit,Health insurance,Healthcare,1787
2016,Two people in consumer unit,Health insurance,Healthcare,3695
2016,Three people in consumer unit,Health insurance,Healthcare,3431
2016,Four people in consumer unit,Health insurance,Healthcare,3424
2016,Five or more people in consumer unit,Health insurance,Healthcare,2825
2017,One person consumer unit,Health insurance,Healthcare,1982
2017,Two people in consumer unit,Health insurance,Healthcare,4133
2017,Three people in consumer unit,Health insurance,Healthcare,3789
2017,Four people in consumer unit,Health insurance,Healthcare,3741
2017,Five or more people in consumer unit,Health insurance,Healthcare,2949
2006,One person consumer unit,Housekeeping supplies,Housing,340
2006,Two people in consumer unit,Housekeeping supplies,Housing,730
2006,Three people in consumer unit,Housekeeping supplies,Housing,720
2006,Four people in consumer unit,Housekeeping supplies,Housing,868
2006,Five or more people in consumer unit,Housekeeping supplies,Housing,991
2007,One person consumer unit,Housekeeping supplies,Housing,294
2007,Two people in consumer unit,Housekeeping supplies,Housing,768
2007,Three people in consumer unit,Housekeeping supplies,Housing,602
2007,Four people in consumer unit,Housekeeping supplies,Housing,722
2007,Five or more people in consumer unit,Housekeeping supplies,Housing,726
2008,One person consumer unit,Housekeeping supplies,Housing,343
2008,Two people in consumer unit,Housekeeping supplies,Housing,683
2008,Three people in consumer unit,Housekeeping supplies,Housing,766
2008,Four people in consumer unit,Housekeeping supplies,Housing,899
2008,Five or more people in consumer unit,Housekeeping supplies,Housing,889
2009,One person consumer unit,Housekeeping supplies,Housing,349
2009,Two people in consumer unit,Housekeeping supplies,Housing,788
2009,Three people in consumer unit,Housekeeping supplies,Housing,780
2009,Four people in consumer unit,Housekeeping supplies,Housing,813
2009,Five or more people in consumer unit,Housekeeping supplies,Housing,808
2010,One person consumer unit,Housekeeping supplies,Housing,334
2010,Two people in consumer unit,Housekeeping supplies,Housing,658
2010,Three people in consumer unit,Housekeeping supplies,Housing,632
2010,Four people in consumer unit,Housekeeping supplies,Housing,794
2010,Five or more people in consumer unit,Housekeeping supplies,Housing,730
2011,One person consumer unit,Housekeeping supplies,Housing,321
2011,Two people in consumer unit,Housekeeping supplies,Housing,647
2011,Three people in consumer unit,Housekeeping supplies,Housing,622
2011,Four people in consumer unit,Housekeeping supplies,Housing,692
2011,Five or more people in consumer unit,Housekeeping supplies,Housing,748
2012,One person consumer unit,Housekeeping supplies,Housing,315
2012,Two people in consumer unit,Housekeeping supplies,Housing,687
2012,Three people in consumer unit,Housekeeping supplies,Housing,702
2012,Four people in consumer unit,Housekeeping supplies,Housing,772
2012,Five or more people in consumer unit,Housekeeping supplies,Housing,844
2013,One person consumer unit,Housekeeping supplies,Housing,334
2013,Two people in consumer unit,Housekeeping supplies,Housing,660
2013,Three people in consumer unit,Housekeeping supplies,Housing,605
2013,Four people in consumer unit,Housekeeping supplies,Housing,823
2013,Five or more people in consumer unit,Housekeeping supplies,Housing,730
2014,One person consumer unit,Housekeeping supplies,Housing,340
2014,Two people in consumer unit,Housekeeping supplies,Housing,654
2014,Three people in consumer unit,Housekeeping supplies,Housing,670
2014,Four people in consumer unit,Housekeeping supplies,Housing,789
2014,Five or more people in consumer unit,Housekeeping supplies,Housing,806
2015,One person consumer unit,Housekeeping supplies,Housing,379
2015,Two people in consumer unit,Housekeeping supplies,Housing,762
2015,Three people in consumer unit,Housekeeping supplies,Housing,772
2015,Four people in consumer unit,Housekeeping supplies,Housing,757
2015,Five or more people in consumer unit,Housekeeping supplies,Housing,866
2016,One person consumer unit,Housekeeping supplies,Housing,388
2016,Two people in consumer unit,Housekeeping supplies,Housing,717
2016,Three people in consumer unit,Housekeeping supplies,Housing,704
2016,Four people in consumer unit,Housekeeping supplies,Housing,840
2016,Five or more people in consumer unit,Housekeeping supplies,Housing,832
2017,One person consumer unit,Housekeeping supplies,Housing,430
2017,Two people in consumer unit,Housekeeping supplies,Housing,767
2017,Three people in consumer unit,Housekeeping supplies,Housing,809
2017,Four people in consumer unit,Housekeeping supplies,Housing,805
2017,Five or more people in consumer unit,Housekeeping supplies,Housing,967
2006,One person consumer unit,Miscellaneous expenditures,Miscellaneous expenditures,569
2006,Two people in consumer unit,Miscellaneous expenditures,Miscellaneous expenditures,762
2006,Three people in consumer unit,Miscellaneous expenditures,Miscellaneous expenditures,851
2006,Four people in consumer unit,Miscellaneous expenditures,Miscellaneous expenditures,791
2006,Five or more people in consumer unit,Miscellaneous expenditures,Miscellaneous expenditures,803
2007,One person consumer unit,Miscellaneous expenditures,Miscellaneous expenditures,430
2007,Two people in consumer unit,Miscellaneous expenditures,Miscellaneous expenditures,788
2007,Three people in consumer unit,Miscellaneous expenditures,Miscellaneous expenditures,675
2007,Four people in consumer unit,Miscellaneous expenditures,Miscellaneous expenditures,754
2007,Five or more people in consumer unit,Miscellaneous expenditures,Miscellaneous expenditures,696
2008,One person consumer unit,Miscellaneous expenditures,Miscellaneous expenditures,494
2008,Two people in consumer unit,Miscellaneous expenditures,Miscellaneous expenditures,845
2008,Three people in consumer unit,Miscellaneous expenditures,Miscellaneous expenditures,889
2008,Four people in consumer unit,Miscellaneous expenditures,Miscellaneous expenditures,837
2008,Five or more people in consumer unit,Miscellaneous expenditures,Miscellaneous expenditures,785
2009,One person consumer unit,Miscellaneous expenditures,Miscellaneous expenditures,532
2009,Two people in consumer unit,Miscellaneous expenditures,Miscellaneous expenditures,789
2009,Three people in consumer unit,Miscellaneous expenditures,Miscellaneous expenditures,887
2009,Four people in consumer unit,Miscellaneous expenditures,Miscellaneous expenditures,1049
2009,Five or more people in consumer unit,Miscellaneous expenditures,Miscellaneous expenditures,821
2010,One person consumer unit,Miscellaneous expenditures,Miscellaneous expenditures,634
2010,Two people in consumer unit,Miscellaneous expenditures,Miscellaneous expenditures,730
2010,Three people in consumer unit,Miscellaneous expenditures,Miscellaneous expenditures,776
2010,Four people in consumer unit,Miscellaneous expenditures,Miscellaneous expenditures,810
2010,Five or more people in consumer unit,Miscellaneous expenditures,Miscellaneous expenditures,692
2011,One person consumer unit,Miscellaneous expenditures,Miscellaneous expenditures,492
2011,Two people in consumer unit,Miscellaneous expenditures,Miscellaneous expenditures,757
2011,Three people in consumer unit,Miscellaneous expenditures,Miscellaneous expenditures,768
2011,Four people in consumer unit,Miscellaneous expenditures,Miscellaneous expenditures,642
2011,Five or more people in consumer unit,Miscellaneous expenditures,Miscellaneous expenditures,712
2012,One person consumer unit,Miscellaneous expenditures,Miscellaneous expenditures,519
2012,Two people in consumer unit,Miscellaneous expenditures,Miscellaneous expenditures,736
2012,Three people in consumer unit,Miscellaneous expenditures,Miscellaneous expenditures,752
2012,Four people in consumer unit,Miscellaneous expenditures,Miscellaneous expenditures,762
2012,Five or more people in consumer unit,Miscellaneous expenditures,Miscellaneous expenditures,606
2013,One person consumer unit,Miscellaneous expenditures,Miscellaneous expenditures,463
2013,Two people in consumer unit,Miscellaneous expenditures,Miscellaneous expenditures,634
2013,Three people in consumer unit,Miscellaneous expenditures,Miscellaneous expenditures,690
2013,Four people in consumer unit,Miscellaneous expenditures,Miscellaneous expenditures,623
2013,Five or more people in consumer unit,Miscellaneous expenditures,Miscellaneous expenditures,600
2014,One person consumer unit,Miscellaneous expenditures,Miscellaneous expenditures,511
2014,Two people in consumer unit,Miscellaneous expenditures,Miscellaneous expenditures,638
2014,Three people in consumer unit,Miscellaneous expenditures,Miscellaneous expenditures,893
2014,Four people in consumer unit,Miscellaneous expenditures,Miscellaneous expenditures,858
2014,Five or more people in consumer unit,Miscellaneous expenditures,Miscellaneous expenditures,618
2015,One person consumer unit,Miscellaneous expenditures,Miscellaneous expenditures,549
2015,Two people in consumer unit,Miscellaneous expenditures,Miscellaneous expenditures,697
2015,Three people in consumer unit,Miscellaneous expenditures,Miscellaneous expenditures,804
2015,Four people in consumer unit,Miscellaneous expenditures,Miscellaneous expenditures,800
2015,Five or more people in consumer unit,Miscellaneous expenditures,Miscellaneous expenditures,857
2016,One person consumer unit,Miscellaneous expenditures,Miscellaneous expenditures,526
2016,Two people in consumer unit,Miscellaneous expenditures,Miscellaneous expenditures,753
2016,Three people in consumer unit,Miscellaneous expenditures,Miscellaneous expenditures,748
2016,Four people in consumer unit,Miscellaneous expenditures,Miscellaneous expenditures,1033
2016,Five or more people in consumer unit,Miscellaneous expenditures,Miscellaneous expenditures,645
2017,One person consumer unit,Miscellaneous expenditures,Miscellaneous expenditures,647
2017,Two people in consumer unit,Miscellaneous expenditures,Miscellaneous expenditures,929
2017,Three people in consumer unit,Miscellaneous expenditures,Miscellaneous expenditures,1074
2017,Four people in consumer unit,Miscellaneous expenditures,Miscellaneous expenditures,918
2017,Five or more people in consumer unit,Miscellaneous expenditures,Miscellaneous expenditures,697
2006,One person consumer unit,Personal care products and services,Personal care products and services,352
2006,Two people in consumer unit,Personal care products and services,Personal care products and services,604
2006,Three people in consumer unit,Personal care products and services,Personal care products and services,686
2006,Four people in consumer unit,Personal care products and services,Personal care products and services,732
2006,Five or more people in consumer unit,Personal care products and services,Personal care products and services,717
2007,One person consumer unit,Personal care products and services,Personal care products and services,350
2007,Two people in consumer unit,Personal care products and services,Personal care products and services,625
2007,Three people in consumer unit,Personal care products and services,Personal care products and services,627
2007,Four people in consumer unit,Personal care products and services,Personal care products and services,726
2007,Five or more people in consumer unit,Personal care products and services,Personal care products and services,697
2008,One person consumer unit,Personal care products and services,Personal care products and services,365
2008,Two people in consumer unit,Personal care products and services,Personal care products and services,601
2008,Three people in consumer unit,Personal care products and services,Personal care products and services,690
2008,Four people in consumer unit,Personal care products and services,Personal care products and services,758
2008,Five or more people in consumer unit,Personal care products and services,Personal care products and services,732
2009,One person consumer unit,Personal care products and services,Personal care products and services,343
2009,Two people in consumer unit,Personal care products and services,Personal care products and services,643
2009,Three people in consumer unit,Personal care products and services,Personal care products and services,715
2009,Four people in consumer unit,Personal care products and services,Personal care products and services,775
2009,Five or more people in consumer unit,Personal care products and services,Personal care products and services,713
2010,One person consumer unit,Personal care products and services,Personal care products and services,350
2010,Two people in consumer unit,Personal care products and services,Personal care products and services,595
2010,Three people in consumer unit,Personal care products and services,Personal care products and services,707
2010,Four people in consumer unit,Personal care products and services,Personal care products and services,748
2010,Five or more people in consumer unit,Personal care products and services,Personal care products and services,651
2011,One person consumer unit,Personal care products and services,Personal care products and services,371
2011,Two people in consumer unit,Personal care products and services,Personal care products and services,667
2011,Three people in consumer unit,Personal care products and services,Personal care products and services,704
2011,Four people in consumer unit,Personal care products and services,Personal care products and services,770
2011,Five or more people in consumer unit,Personal care products and services,Personal care products and services,729
2012,One person consumer unit,Personal care products and services,Personal care products and services,380
2012,Two people in consumer unit,Personal care products and services,Personal care products and services,712
2012,Three people in consumer unit,Personal care products and services,Personal care products and services,681
2012,Four people in consumer unit,Personal care products and services,Personal care products and services,807
2012,Five or more people in consumer unit,Personal care products and services,Personal care products and services,765
2013,One person consumer unit,Personal care products and services,Personal care products and services,329
2013,Two people in consumer unit,Personal care products and services,Personal care products and services,636
2013,Three people in consumer unit,Personal care products and services,Personal care products and services,594
2013,Four people in consumer unit,Personal care products and services,Personal care products and services,745
2013,Five or more people in consumer unit,Personal care products and services,Personal care products and services,666
2014,One person consumer unit,Personal care products and services,Personal care products and services,358
2014,Two people in consumer unit,Personal care products and services,Personal care products and services,642
2014,Three people in consumer unit,Personal care products and services,Personal care products and services,652
2014,Four people in consumer unit,Personal care products and services,Personal care products and services,784
2014,Five or more people in consumer unit,Personal care products and services,Personal care products and services,624
2015,One person consumer unit,Personal care products and services,Personal care products and services,375
2015,Two people in consumer unit,Personal care products and services,Personal care products and services,656
2015,Three people in consumer unit,Personal care products and services,Personal care products and services,755
2015,Four people in consumer unit,Personal care products and services,Personal care products and services,799
2015,Five or more people in consumer unit,Personal care products and services,Personal care products and services,733
2016,One person consumer unit,Personal care products and services,Personal care products and services,395
2016,Two people in consumer unit,Personal care products and services,Personal care products and services,717
2016,Three people in consumer unit,Personal care products and services,Personal care products and services,737
