geo_description,label,year,description,estimate,moe,se,cv
Forsyth ,HC01_EST_VC01,2006,Total; Estimate; Total population,332355,NA,NA,NA
Forsyth ,HC03_EST_VC39,2007,Female; Estimate; Total population - PERCENT IMPUTED - Sex,NA,NA,NA,NA
Forsyth ,HC01_EST_VC40,2007,Total; Estimate; Total population - PERCENT IMPUTED - Age,0.6,NA,NA,NA
Forsyth ,HC02_EST_VC40,2007,Male; Estimate; Total population - PERCENT IMPUTED - Age,NA,NA,NA,NA
Forsyth ,HC03_EST_VC40,2007,Female; Estimate; Total population - PERCENT IMPUTED - Age,NA,NA,NA,NA
Forsyth ,HC01_EST_VC01,2008,Total; Estimate; Total population,343028,NA,NA,NA
Forsyth ,HC02_EST_VC01,2008,Male; Estimate; Total population,165435,674.38,344.07,0.21
Forsyth ,HC03_EST_VC01,2008,Female; Estimate; Total population,177593,674.38,344.07,0.19
Forsyth ,HC01_EST_VC03,2008,Total; Estimate; Total population - AGE - Under 5 years,7.2,0.12,0.06,0.83
Forsyth ,HC02_EST_VC03,2008,Male; Estimate; Total population - AGE - Under 5 years,7.6,0.12,0.06,0.79
Forsyth ,HC03_EST_VC03,2008,Female; Estimate; Total population - AGE - Under 5 years,6.8,0.12,0.06,0.88
Forsyth ,HC01_EST_VC04,2008,Total; Estimate; Total population - AGE - 5 to 9 years,6.4,0.71,0.36,5.62
Forsyth ,HC02_EST_VC04,2008,Male; Estimate; Total population - AGE - 5 to 9 years,7,1.07,0.55,7.86
Forsyth ,HC03_EST_VC04,2008,Female; Estimate; Total population - AGE - 5 to 9 years,5.8,0.95,0.48,8.28
Forsyth ,HC01_EST_VC05,2008,Total; Estimate; Total population - AGE - 10 to 14 years,6.9,0.71,0.36,5.22
Forsyth ,HC02_EST_VC05,2008,Male; Estimate; Total population - AGE - 10 to 14 years,7.2,1.07,0.55,7.64
Forsyth ,HC03_EST_VC05,2008,Female; Estimate; Total population - AGE - 10 to 14 years,6.6,0.95,0.48,7.27
Forsyth ,HC01_EST_VC06,2008,Total; Estimate; Total population - AGE - 15 to 19 years,7.1,0.24,0.12,1.69
Forsyth ,HC02_EST_VC06,2008,Male; Estimate; Total population - AGE - 15 to 19 years,7.7,0.48,0.24,3.12
Forsyth ,HC03_EST_VC06,2008,Female; Estimate; Total population - AGE - 15 to 19 years,6.6,0.36,0.18,2.73
Forsyth ,HC01_EST_VC07,2008,Total; Estimate; Total population - AGE - 20 to 24 years,6.5,0.24,0.12,1.85
Forsyth ,HC02_EST_VC07,2008,Male; Estimate; Total population - AGE - 20 to 24 years,6.6,0.36,0.18,2.73
Forsyth ,HC03_EST_VC07,2008,Female; Estimate; Total population - AGE - 20 to 24 years,6.4,0.24,0.12,1.88
Forsyth ,HC01_EST_VC08,2008,Total; Estimate; Total population - AGE - 25 to 29 years,6.3,0.12,0.06,0.95
Forsyth ,HC02_EST_VC08,2008,Male; Estimate; Total population - AGE - 25 to 29 years,6.5,0.12,0.06,0.92
Forsyth ,HC03_EST_VC08,2008,Female; Estimate; Total population - AGE - 25 to 29 years,6.1,0.24,0.12,1.97
Forsyth ,HC01_EST_VC09,2008,Total; Estimate; Total population - AGE - 30 to 34 years,6.3,0.12,0.06,0.95
Forsyth ,HC02_EST_VC09,2008,Male; Estimate; Total population - AGE - 30 to 34 years,6.5,0.12,0.06,0.92
Forsyth ,HC03_EST_VC09,2008,Female; Estimate; Total population - AGE - 30 to 34 years,6.2,0.24,0.12,1.94
Forsyth ,HC01_EST_VC10,2008,Total; Estimate; Total population - AGE - 35 to 39 years,7.5,0.6,0.31,4.13
Forsyth ,HC02_EST_VC10,2008,Male; Estimate; Total population - AGE - 35 to 39 years,7.6,0.95,0.48,6.32
Forsyth ,HC03_EST_VC10,2008,Female; Estimate; Total population - AGE - 35 to 39 years,7.5,0.83,0.42,5.6
Forsyth ,HC01_EST_VC11,2008,Total; Estimate; Total population - AGE - 40 to 44 years,6.7,0.6,0.31,4.63
Forsyth ,HC02_EST_VC11,2008,Male; Estimate; Total population - AGE - 40 to 44 years,6.7,0.95,0.48,7.16
Forsyth ,HC03_EST_VC11,2008,Female; Estimate; Total population - AGE - 40 to 44 years,6.8,0.83,0.42,6.18
Forsyth ,HC01_EST_VC12,2008,Total; Estimate; Total population - AGE - 45 to 49 years,7.6,0.24,0.12,1.58
Forsyth ,HC02_EST_VC12,2008,Male; Estimate; Total population - AGE - 45 to 49 years,7.5,0.36,0.18,2.4
Forsyth ,HC03_EST_VC12,2008,Female; Estimate; Total population - AGE - 45 to 49 years,7.6,0.24,0.12,1.58
Forsyth ,HC01_EST_VC13,2008,Total; Estimate; Total population - AGE - 50 to 54 years,7.1,0.12,0.06,0.85
Forsyth ,HC02_EST_VC13,2008,Male; Estimate; Total population - AGE - 50 to 54 years,7,0.24,0.12,1.71
Forsyth ,HC03_EST_VC13,2008,Female; Estimate; Total population - AGE - 50 to 54 years,7.2,0.24,0.12,1.67
Forsyth ,HC01_EST_VC14,2008,Total; Estimate; Total population - AGE - 55 to 59 years,6.3,0.48,0.24,3.81
Forsyth ,HC02_EST_VC14,2008,Male; Estimate; Total population - AGE - 55 to 59 years,6.1,0.71,0.36,5.9
Forsyth ,HC03_EST_VC14,2008,Female; Estimate; Total population - AGE - 55 to 59 years,6.5,0.71,0.36,5.54
Forsyth ,HC01_EST_VC15,2008,Total; Estimate; Total population - AGE - 60 to 64 years,5.5,0.48,0.24,4.36
Forsyth ,HC02_EST_VC15,2008,Male; Estimate; Total population - AGE - 60 to 64 years,5.4,0.6,0.31,5.74
Forsyth ,HC03_EST_VC15,2008,Female; Estimate; Total population - AGE - 60 to 64 years,5.5,0.71,0.36,6.55
Forsyth ,HC01_EST_VC16,2008,Total; Estimate; Total population - AGE - 65 to 69 years,3.6,0.36,0.18,5
Forsyth ,HC02_EST_VC16,2008,Male; Estimate; Total population - AGE - 65 to 69 years,3.4,0.48,0.24,7.06
Forsyth ,HC03_EST_VC16,2008,Female; Estimate; Total population - AGE - 65 to 69 years,3.8,0.48,0.24,6.32
Forsyth ,HC01_EST_VC17,2008,Total; Estimate; Total population - AGE - 70 to 74 years,3,0.36,0.18,6
Forsyth ,HC02_EST_VC17,2008,Male; Estimate; Total population - AGE - 70 to 74 years,2.7,0.48,0.24,8.89
Forsyth ,HC03_EST_VC17,2008,Female; Estimate; Total population - AGE - 70 to 74 years,3.2,0.48,0.24,7.5
Forsyth ,HC01_EST_VC18,2008,Total; Estimate; Total population - AGE - 75 to 79 years,2.5,0.36,0.18,7.2
Forsyth ,HC02_EST_VC18,2008,Male; Estimate; Total population - AGE - 75 to 79 years,2,0.36,0.18,9
Forsyth ,HC03_EST_VC18,2008,Female; Estimate; Total population - AGE - 75 to 79 years,2.9,0.6,0.31,10.69
Forsyth ,HC01_EST_VC19,2008,Total; Estimate; Total population - AGE - 80 to 84 years,1.8,0.36,0.18,10
Forsyth ,HC02_EST_VC19,2008,Male; Estimate; Total population - AGE - 80 to 84 years,1.3,0.36,0.18,13.85
Forsyth ,HC03_EST_VC19,2008,Female; Estimate; Total population - AGE - 80 to 84 years,2.3,0.48,0.24,10.43
Forsyth ,HC01_EST_VC20,2008,Total; Estimate; Total population - AGE - 85 years and over,1.7,0.36,0.18,10.59
Forsyth ,HC02_EST_VC20,2008,Male; Estimate; Total population - AGE - 85 years and over,1.1,0.36,0.18,16.36
Forsyth ,HC03_EST_VC20,2008,Female; Estimate; Total population - AGE - 85 years and over,2.2,0.48,0.24,10.91
Forsyth ,HC01_EST_VC22,2008,Total; Estimate; Total population - SELECTED AGE CATEGORIES - 5 to 14 years,13.3,0.12,0.06,0.45
Forsyth ,HC02_EST_VC22,2008,Male; Estimate; Total population - SELECTED AGE CATEGORIES - 5 to 14 years,14.2,0.24,0.12,0.85
Forsyth ,HC03_EST_VC22,2008,Female; Estimate; Total population - SELECTED AGE CATEGORIES - 5 to 14 years,12.4,0.24,0.12,0.97
Forsyth ,HC01_EST_VC23,2008,Total; Estimate; Total population - SELECTED AGE CATEGORIES - 15 to 17 years,4,0.12,0.06,1.5
Forsyth ,HC02_EST_VC23,2008,Male; Estimate; Total population - SELECTED AGE CATEGORIES - 15 to 17 years,4.4,0.24,0.12,2.73
Forsyth ,HC03_EST_VC23,2008,Female; Estimate; Total population - SELECTED AGE CATEGORIES - 15 to 17 years,3.7,0.24,0.12,3.24
Forsyth ,HC01_EST_VC24,2008,Total; Estimate; Total population - SELECTED AGE CATEGORIES - 18 to 24 years,9.6,0.12,0.06,0.62
Forsyth ,HC02_EST_VC24,2008,Male; Estimate; Total population - SELECTED AGE CATEGORIES - 18 to 24 years,9.9,0.24,0.12,1.21
Forsyth ,HC03_EST_VC24,2008,Female; Estimate; Total population - SELECTED AGE CATEGORIES - 18 to 24 years,9.3,0.24,0.12,1.29
Forsyth ,HC01_EST_VC25,2008,Total; Estimate; Total population - SELECTED AGE CATEGORIES - 15 to 44 years,40.5,0.24,0.12,0.3
Forsyth ,HC02_EST_VC25,2008,Male; Estimate; Total population - SELECTED AGE CATEGORIES - 15 to 44 years,41.5,0.48,0.24,0.58
Forsyth ,HC03_EST_VC25,2008,Female; Estimate; Total population - SELECTED AGE CATEGORIES - 15 to 44 years,39.5,0.24,0.12,0.3
Forsyth ,HC01_EST_VC26,2008,Total; Estimate; Total population - SELECTED AGE CATEGORIES - 16 years and over,78.2,0.36,0.18,0.23
Forsyth ,HC02_EST_VC26,2008,Male; Estimate; Total population - SELECTED AGE CATEGORIES - 16 years and over,76.8,0.48,0.24,0.31
Forsyth ,HC03_EST_VC26,2008,Female; Estimate; Total population - SELECTED AGE CATEGORIES - 16 years and over,79.5,0.48,0.24,0.3
Forsyth ,HC01_EST_VC27,2008,Total; Estimate; Total population - SELECTED AGE CATEGORIES - 18 years and over,75.5,0.12,0.06,0.08
Forsyth ,HC02_EST_VC27,2008,Male; Estimate; Total population - SELECTED AGE CATEGORIES - 18 years and over,73.8,0.24,0.12,0.16
Forsyth ,HC03_EST_VC27,2008,Female; Estimate; Total population - SELECTED AGE CATEGORIES - 18 years and over,77.1,0.24,0.12,0.16
Forsyth ,HC01_EST_VC28,2008,Total; Estimate; Total population - SELECTED AGE CATEGORIES - 60 years and over,18,0.6,0.31,1.72
Forsyth ,HC02_EST_VC28,2008,Male; Estimate; Total population - SELECTED AGE CATEGORIES - 60 years and over,16,0.6,0.31,1.94
Forsyth ,HC03_EST_VC28,2008,Female; Estimate; Total population - SELECTED AGE CATEGORIES - 60 years and over,19.9,0.71,0.36,1.81
Forsyth ,HC01_EST_VC29,2008,Total; Estimate; Total population - SELECTED AGE CATEGORIES - 62 years and over,15.6,0.48,0.24,1.54
Forsyth ,HC02_EST_VC29,2008,Male; Estimate; Total population - SELECTED AGE CATEGORIES - 62 years and over,13.3,0.6,0.31,2.33
Forsyth ,HC03_EST_VC29,2008,Female; Estimate; Total population - SELECTED AGE CATEGORIES - 62 years and over,17.7,0.71,0.36,2.03
Forsyth ,HC01_EST_VC30,2008,Total; Estimate; Total population - SELECTED AGE CATEGORIES - 65 years and over,12.6,0.12,0.06,0.48
Forsyth ,HC02_EST_VC30,2008,Male; Estimate; Total population - SELECTED AGE CATEGORIES - 65 years and over,10.6,0.24,0.12,1.13
Forsyth ,HC03_EST_VC30,2008,Female; Estimate; Total population - SELECTED AGE CATEGORIES - 65 years and over,14.4,0.24,0.12,0.83
Forsyth ,HC01_EST_VC31,2008,Total; Estimate; Total population - SELECTED AGE CATEGORIES - 75 years and over,5.9,0.12,0.06,1.02
Forsyth ,HC02_EST_VC31,2008,Male; Estimate; Total population - SELECTED AGE CATEGORIES - 75 years and over,4.4,0.12,0.06,1.36
Forsyth ,HC03_EST_VC31,2008,Female; Estimate; Total population - SELECTED AGE CATEGORIES - 75 years and over,7.4,0.12,0.06,0.81
Forsyth ,HC01_EST_VC33,2008,Total; Estimate; Total population - SUMMARY INDICATORS - Median age (years),37.4,0.36,0.18,0.48
Forsyth ,HC02_EST_VC33,2008,Male; Estimate; Total population - SUMMARY INDICATORS - Median age (years),35.8,0.48,0.24,0.67
Forsyth ,HC03_EST_VC33,2008,Female; Estimate; Total population - SUMMARY INDICATORS - Median age (years),38.6,0.83,0.42,1.09
Forsyth ,HC01_EST_VC34,2008,Total; Estimate; Total population - SUMMARY INDICATORS - Sex ratio (males per 100 females),93.2,0.71,0.36,0.39
Forsyth ,HC02_EST_VC34,2008,Male; Estimate; Total population - SUMMARY INDICATORS - Sex ratio (males per 100 females),NA,NA,NA,NA
Forsyth ,HC03_EST_VC34,2008,Female; Estimate; Total population - SUMMARY INDICATORS - Sex ratio (males per 100 females),NA,NA,NA,NA
Forsyth ,HC01_EST_VC35,2008,Total; Estimate; Total population - SUMMARY INDICATORS - Age dependency ratio,59,0.48,0.24,0.41
Forsyth ,HC02_EST_VC35,2008,Male; Estimate; Total population - SUMMARY INDICATORS - Age dependency ratio,NA,NA,NA,NA
Forsyth ,HC03_EST_VC35,2008,Female; Estimate; Total population - SUMMARY INDICATORS - Age dependency ratio,NA,NA,NA,NA
Forsyth ,HC01_EST_VC36,2008,Total; Estimate; Total population - SUMMARY INDICATORS - Old-age dependency ratio,20,0.36,0.18,0.9
Forsyth ,HC02_EST_VC36,2008,Male; Estimate; Total population - SUMMARY INDICATORS - Old-age dependency ratio,NA,NA,NA,NA
Forsyth ,HC03_EST_VC36,2008,Female; Estimate; Total population - SUMMARY INDICATORS - Old-age dependency ratio,NA,NA,NA,NA
Forsyth ,HC01_EST_VC37,2008,Total; Estimate; Total population - SUMMARY INDICATORS - Child dependency ratio,39,0.24,0.12,0.31
Forsyth ,HC02_EST_VC37,2008,Male; Estimate; Total population - SUMMARY INDICATORS - Child dependency ratio,NA,NA,NA,NA
Forsyth ,HC03_EST_VC37,2008,Female; Estimate; Total population - SUMMARY INDICATORS - Child dependency ratio,NA,NA,NA,NA
Forsyth ,HC01_EST_VC39,2008,Total; Estimate; Total population - PERCENT IMPUTED - Sex,0.1,NA,NA,NA
Forsyth ,HC02_EST_VC39,2008,Male; Estimate; Total population - PERCENT IMPUTED - Sex,NA,NA,NA,NA
Forsyth ,HC03_EST_VC39,2008,Female; Estimate; Total population - PERCENT IMPUTED - Sex,NA,NA,NA,NA
Forsyth ,HC01_EST_VC40,2008,Total; Estimate; Total population - PERCENT IMPUTED - Age,0.7,NA,NA,NA
Forsyth ,HC02_EST_VC40,2008,Male; Estimate; Total population - PERCENT IMPUTED - Age,NA,NA,NA,NA
Forsyth ,HC03_EST_VC40,2008,Female; Estimate; Total population - PERCENT IMPUTED - Age,NA,NA,NA,NA
Forsyth ,HC01_EST_VC01,2009,Total; Estimate; Total population,359638,NA,NA,NA
Forsyth ,HC02_EST_VC01,2009,Male; Estimate; Total population,172720,549.28,280.24,0.16
Forsyth ,HC03_EST_VC01,2009,Female; Estimate; Total population,186918,549.28,280.24,0.15
Forsyth ,HC01_EST_VC03,2009,Total; Estimate; Total population - AGE - Under 5 years,7.3,0.24,0.12,1.64
Forsyth ,HC02_EST_VC03,2009,Male; Estimate; Total population - AGE - Under 5 years,7.9,0.36,0.18,2.28
Forsyth ,HC03_EST_VC03,2009,Female; Estimate; Total population - AGE - Under 5 years,6.7,0.12,0.06,0.9
Forsyth ,HC01_EST_VC04,2009,Total; Estimate; Total population - AGE - 5 to 9 years,6.8,0.6,0.31,4.56
Forsyth ,HC02_EST_VC04,2009,Male; Estimate; Total population - AGE - 5 to 9 years,7,0.83,0.42,6
Forsyth ,HC03_EST_VC04,2009,Female; Estimate; Total population - AGE - 5 to 9 years,6.6,0.71,0.36,5.45
Forsyth ,HC01_EST_VC05,2009,Total; Estimate; Total population - AGE - 10 to 14 years,6.6,0.6,0.31,4.7
Forsyth ,HC02_EST_VC05,2009,Male; Estimate; Total population - AGE - 10 to 14 years,7.4,0.83,0.42,5.68
Forsyth ,HC03_EST_VC05,2009,Female; Estimate; Total population - AGE - 10 to 14 years,5.8,0.71,0.36,6.21
Forsyth ,HC01_EST_VC06,2009,Total; Estimate; Total population - AGE - 15 to 19 years,7,0.12,0.06,0.86
Forsyth ,HC02_EST_VC06,2009,Male; Estimate; Total population - AGE - 15 to 19 years,6.9,0.12,0.06,0.87
Forsyth ,HC03_EST_VC06,2009,Female; Estimate; Total population - AGE - 15 to 19 years,7.2,0.24,0.12,1.67
Forsyth ,HC01_EST_VC07,2009,Total; Estimate; Total population - AGE - 20 to 24 years,6.6,0.12,0.06,0.91
Forsyth ,HC02_EST_VC07,2009,Male; Estimate; Total population - AGE - 20 to 24 years,7,0.12,0.06,0.86
Forsyth ,HC03_EST_VC07,2009,Female; Estimate; Total population - AGE - 20 to 24 years,6.3,0.24,0.12,1.9
Forsyth ,HC01_EST_VC08,2009,Total; Estimate; Total population - AGE - 25 to 29 years,6.2,0.12,0.06,0.97
Forsyth ,HC02_EST_VC08,2009,Male; Estimate; Total population - AGE - 25 to 29 years,6.5,0.12,0.06,0.92
Forsyth ,HC03_EST_VC08,2009,Female; Estimate; Total population - AGE - 25 to 29 years,6,0.12,0.06,1
Forsyth ,HC01_EST_VC09,2009,Total; Estimate; Total population - AGE - 30 to 34 years,6.4,0.12,0.06,0.94
Forsyth ,HC02_EST_VC09,2009,Male; Estimate; Total population - AGE - 30 to 34 years,6.5,0.12,0.06,0.92
Forsyth ,HC03_EST_VC09,2009,Female; Estimate; Total population - AGE - 30 to 34 years,6.4,0.12,0.06,0.94
Forsyth ,HC01_EST_VC10,2009,Total; Estimate; Total population - AGE - 35 to 39 years,7.3,0.71,0.36,4.93
Forsyth ,HC02_EST_VC10,2009,Male; Estimate; Total population - AGE - 35 to 39 years,7.3,1.07,0.55,7.53
Forsyth ,HC03_EST_VC10,2009,Female; Estimate; Total population - AGE - 35 to 39 years,7.3,0.83,0.42,5.75
Forsyth ,HC01_EST_VC11,2009,Total; Estimate; Total population - AGE - 40 to 44 years,6.5,0.71,0.36,5.54
Forsyth ,HC02_EST_VC11,2009,Male; Estimate; Total population - AGE - 40 to 44 years,6.5,1.07,0.55,8.46
Forsyth ,HC03_EST_VC11,2009,Female; Estimate; Total population - AGE - 40 to 44 years,6.4,0.83,0.42,6.56
Forsyth ,HC01_EST_VC12,2009,Total; Estimate; Total population - AGE - 45 to 49 years,7.6,0.12,0.06,0.79
Forsyth ,HC02_EST_VC12,2009,Male; Estimate; Total population - AGE - 45 to 49 years,7.6,0.36,0.18,2.37
Forsyth ,HC03_EST_VC12,2009,Female; Estimate; Total population - AGE - 45 to 49 years,7.6,0.12,0.06,0.79
Forsyth ,HC01_EST_VC13,2009,Total; Estimate; Total population - AGE - 50 to 54 years,7,0.24,0.12,1.71
Forsyth ,HC02_EST_VC13,2009,Male; Estimate; Total population - AGE - 50 to 54 years,7,0.36,0.18,2.57
Forsyth ,HC03_EST_VC13,2009,Female; Estimate; Total population - AGE - 50 to 54 years,7,0.24,0.12,1.71
Forsyth ,HC01_EST_VC14,2009,Total; Estimate; Total population - AGE - 55 to 59 years,6.7,0.48,0.24,3.58
Forsyth ,HC02_EST_VC14,2009,Male; Estimate; Total population - AGE - 55 to 59 years,6.4,0.83,0.42,6.56
Forsyth ,HC03_EST_VC14,2009,Female; Estimate; Total population - AGE - 55 to 59 years,7,0.6,0.31,4.43
Forsyth ,HC01_EST_VC15,2009,Total; Estimate; Total population - AGE - 60 to 64 years,4.9,0.48,0.24,4.9
Forsyth ,HC02_EST_VC15,2009,Male; Estimate; Total population - AGE - 60 to 64 years,4.8,0.71,0.36,7.5
Forsyth ,HC03_EST_VC15,2009,Female; Estimate; Total population - AGE - 60 to 64 years,5,0.6,0.31,6.2
Forsyth ,HC01_EST_VC16,2009,Total; Estimate; Total population - AGE - 65 to 69 years,4,0.36,0.18,4.5
Forsyth ,HC02_EST_VC16,2009,Male; Estimate; Total population - AGE - 65 to 69 years,3.9,0.6,0.31,7.95
Forsyth ,HC03_EST_VC16,2009,Female; Estimate; Total population - AGE - 65 to 69 years,4.1,0.48,0.24,5.85
Forsyth ,HC01_EST_VC17,2009,Total; Estimate; Total population - AGE - 70 to 74 years,2.7,0.36,0.18,6.67
Forsyth ,HC02_EST_VC17,2009,Male; Estimate; Total population - AGE - 70 to 74 years,2.5,0.48,0.24,9.6
Forsyth ,HC03_EST_VC17,2009,Female; Estimate; Total population - AGE - 70 to 74 years,2.9,0.48,0.24,8.28
Forsyth ,HC01_EST_VC18,2009,Total; Estimate; Total population - AGE - 75 to 79 years,2.4,0.36,0.18,7.5
Forsyth ,HC02_EST_VC18,2009,Male; Estimate; Total population - AGE - 75 to 79 years,2,0.48,0.24,12
Forsyth ,HC03_EST_VC18,2009,Female; Estimate; Total population - AGE - 75 to 79 years,2.7,0.6,0.31,11.48
Forsyth ,HC01_EST_VC19,2009,Total; Estimate; Total population - AGE - 80 to 84 years,2,0.36,0.18,9
Forsyth ,HC02_EST_VC19,2009,Male; Estimate; Total population - AGE - 80 to 84 years,1.3,0.48,0.24,18.46
Forsyth ,HC03_EST_VC19,2009,Female; Estimate; Total population - AGE - 80 to 84 years,2.6,0.48,0.24,9.23
Forsyth ,HC01_EST_VC20,2009,Total; Estimate; Total population - AGE - 85 years and over,2,0.36,0.18,9
Forsyth ,HC02_EST_VC20,2009,Male; Estimate; Total population - AGE - 85 years and over,1.5,0.36,0.18,12
Forsyth ,HC03_EST_VC20,2009,Female; Estimate; Total population - AGE - 85 years and over,2.4,0.48,0.24,10
Forsyth ,HC01_EST_VC22,2009,Total; Estimate; Total population - SELECTED AGE CATEGORIES - 5 to 14 years,13.4,0.12,0.06,0.45
Forsyth ,HC02_EST_VC22,2009,Male; Estimate; Total population - SELECTED AGE CATEGORIES - 5 to 14 years,14.4,0.24,0.12,0.83
Forsyth ,HC03_EST_VC22,2009,Female; Estimate; Total population - SELECTED AGE CATEGORIES - 5 to 14 years,12.5,0.12,0.06,0.48
Forsyth ,HC01_EST_VC23,2009,Total; Estimate; Total population - SELECTED AGE CATEGORIES - 15 to 17 years,3.9,0.12,0.06,1.54
Forsyth ,HC02_EST_VC23,2009,Male; Estimate; Total population - SELECTED AGE CATEGORIES - 15 to 17 years,3.9,0.12,0.06,1.54
Forsyth ,HC03_EST_VC23,2009,Female; Estimate; Total population - SELECTED AGE CATEGORIES - 15 to 17 years,4,0.12,0.06,1.5
Forsyth ,HC01_EST_VC24,2009,Total; Estimate; Total population - SELECTED AGE CATEGORIES - 18 to 24 years,9.7,0.12,0.06,0.62
Forsyth ,HC02_EST_VC24,2009,Male; Estimate; Total population - SELECTED AGE CATEGORIES - 18 to 24 years,10,0.12,0.06,0.6
Forsyth ,HC03_EST_VC24,2009,Female; Estimate; Total population - SELECTED AGE CATEGORIES - 18 to 24 years,9.5,0.12,0.06,0.63
Forsyth ,HC01_EST_VC25,2009,Total; Estimate; Total population - SELECTED AGE CATEGORIES - 15 to 44 years,40.1,0.12,0.06,0.15
Forsyth ,HC02_EST_VC25,2009,Male; Estimate; Total population - SELECTED AGE CATEGORIES - 15 to 44 years,40.7,0.36,0.18,0.44
Forsyth ,HC03_EST_VC25,2009,Female; Estimate; Total population - SELECTED AGE CATEGORIES - 15 to 44 years,39.6,0.24,0.12,0.3
Forsyth ,HC01_EST_VC26,2009,Total; Estimate; Total population - SELECTED AGE CATEGORIES - 16 years and over,77.9,0.36,0.18,0.23
Forsyth ,HC02_EST_VC26,2009,Male; Estimate; Total population - SELECTED AGE CATEGORIES - 16 years and over,76.7,0.6,0.31,0.4
Forsyth ,HC03_EST_VC26,2009,Female; Estimate; Total population - SELECTED AGE CATEGORIES - 16 years and over,79.1,0.48,0.24,0.3
Forsyth ,HC01_EST_VC27,2009,Total; Estimate; Total population - SELECTED AGE CATEGORIES - 18 years and over,75.4,0.12,0.06,0.08
Forsyth ,HC02_EST_VC27,2009,Male; Estimate; Total population - SELECTED AGE CATEGORIES - 18 years and over,73.9,0.36,0.18,0.24
Forsyth ,HC03_EST_VC27,2009,Female; Estimate; Total population - SELECTED AGE CATEGORIES - 18 years and over,76.8,0.12,0.06,0.08
Forsyth ,HC01_EST_VC28,2009,Total; Estimate; Total population - SELECTED AGE CATEGORIES - 60 years and over,17.9,0.6,0.31,1.73
Forsyth ,HC02_EST_VC28,2009,Male; Estimate; Total population - SELECTED AGE CATEGORIES - 60 years and over,16,0.83,0.42,2.62
Forsyth ,HC03_EST_VC28,2009,Female; Estimate; Total population - SELECTED AGE CATEGORIES - 60 years and over,19.7,0.71,0.36,1.83
Forsyth ,HC01_EST_VC29,2009,Total; Estimate; Total population - SELECTED AGE CATEGORIES - 62 years and over,15.7,0.6,0.31,1.97
Forsyth ,HC02_EST_VC29,2009,Male; Estimate; Total population - SELECTED AGE CATEGORIES - 62 years and over,14,0.71,0.36,2.57
Forsyth ,HC03_EST_VC29,2009,Female; Estimate; Total population - SELECTED AGE CATEGORIES - 62 years and over,17.3,0.71,0.36,2.08
Forsyth ,HC01_EST_VC30,2009,Total; Estimate; Total population - SELECTED AGE CATEGORIES - 65 years and over,13,0.12,0.06,0.46
Forsyth ,HC02_EST_VC30,2009,Male; Estimate; Total population - SELECTED AGE CATEGORIES - 65 years and over,11.2,0.36,0.18,1.61
Forsyth ,HC03_EST_VC30,2009,Female; Estimate; Total population - SELECTED AGE CATEGORIES - 65 years and over,14.7,0.12,0.06,0.41
Forsyth ,HC01_EST_VC31,2009,Total; Estimate; Total population - SELECTED AGE CATEGORIES - 75 years and over,6.3,0.12,0.06,0.95
Forsyth ,HC02_EST_VC31,2009,Male; Estimate; Total population - SELECTED AGE CATEGORIES - 75 years and over,4.8,0.12,0.06,1.25
Forsyth ,HC03_EST_VC31,2009,Female; Estimate; Total population - SELECTED AGE CATEGORIES - 75 years and over,7.7,0.24,0.12,1.56
Forsyth ,HC01_EST_VC33,2009,Total; Estimate; Total population - SUMMARY INDICATORS - Median age (years),37.5,0.36,0.18,0.48
Forsyth ,HC02_EST_VC33,2009,Male; Estimate; Total population - SUMMARY INDICATORS - Median age (years),35.6,0.36,0.18,0.51
Forsyth ,HC03_EST_VC33,2009,Female; Estimate; Total population - SUMMARY INDICATORS - Median age (years),38.7,0.48,0.24,0.62
Forsyth ,HC01_EST_VC34,2009,Total; Estimate; Total population - SUMMARY INDICATORS - Sex ratio (males per 100 females),92.4,0.6,0.31,0.34
Forsyth ,HC02_EST_VC34,2009,Male; Estimate; Total population - SUMMARY INDICATORS - Sex ratio (males per 100 females),NA,NA,NA,NA
Forsyth ,HC03_EST_VC34,2009,Female; Estimate; Total population - SUMMARY INDICATORS - Sex ratio (males per 100 females),NA,NA,NA,NA
Forsyth ,HC01_EST_VC35,2009,Total; Estimate; Total population - SUMMARY INDICATORS - Age dependency ratio,60.2,0.48,0.24,0.4
Forsyth ,HC02_EST_VC35,2009,Male; Estimate; Total population - SUMMARY INDICATORS - Age dependency ratio,NA,NA,NA,NA
Forsyth ,HC03_EST_VC35,2009,Female; Estimate; Total population - SUMMARY INDICATORS - Age dependency ratio,NA,NA,NA,NA
Forsyth ,HC01_EST_VC36,2009,Total; Estimate; Total population - SUMMARY INDICATORS - Old-age dependency ratio,20.8,0.36,0.18,0.87
Forsyth ,HC02_EST_VC36,2009,Male; Estimate; Total population - SUMMARY INDICATORS - Old-age dependency ratio,NA,NA,NA,NA
Forsyth ,HC03_EST_VC36,2009,Female; Estimate; Total population - SUMMARY INDICATORS - Old-age dependency ratio,NA,NA,NA,NA
Forsyth ,HC01_EST_VC37,2009,Total; Estimate; Total population - SUMMARY INDICATORS - Child dependency ratio,39.4,0.36,0.18,0.46
Forsyth ,HC02_EST_VC37,2009,Male; Estimate; Total population - SUMMARY INDICATORS - Child dependency ratio,NA,NA,NA,NA
