name,label,concept,predicateType,group,limit,attributes,required
S1701_C01_009E,Total!!Estimate!!AGE!!60 years and over,POVERTY STATUS IN THE PAST 12 MONTHS,int,S1701,0,"S1701_C01_009M,S1701_C01_009EA",NA
S0501_C04_068E,Foreign born; Naturalized citizen!!Estimate!!INDUSTRY!!Manufacturing,SELECTED CHARACTERISTICS OF THE NATIVE AND FOREIGN-BORN POPULATIONS,int,S0501,0,"S0501_C04_068M,S0501_C04_068EA",NA
S1501_C04_035E,Percent Males!!Estimate!!Black alone!!High school graduate or higher,EDUCATIONAL ATTAINMENT,int,S1501,0,"S1501_C04_035M,S1501_C04_035EA",NA
S0505_C03_059E,Foreign born; Born in Eastern Asia!!Estimate!!EMPLOYMENT STATUS!!Population 16 years and over!!In labor force!!Civilian labor force!!Employed,SELECTED CHARACTERISTICS OF THE FOREIGN-BORN POPULATION BY REGION OF BIRTH: ASIA,int,S0505,0,"S0505_C03_059M,S0505_C03_059EA",NA
S0503_C02_063E,Foreign born; Born in Europe!!Estimate!!EMPLOYMENT STATUS!!Population 16 years and over!!Not in labor force,SELECTED CHARACTERISTICS OF THE FOREIGN-BORN POPULATION BY REGION OF BIRTH: EUROPE,int,S0503,0,"S0503_C02_063M,S0503_C02_063EA",NA
S0503_C03_130E,Foreign born; Born in Northern and Western Europe!!Estimate!!ROOMS!!2 or 3 rooms,SELECTED CHARACTERISTICS OF THE FOREIGN-BORN POPULATION BY REGION OF BIRTH: EUROPE,int,S0503,0,"S0503_C03_130M,S0503_C03_130EA",NA
S1501_C04_043E,Percent Males!!Estimate!!Native Hawaiian and Other Pacific Islander alone,EDUCATIONAL ATTAINMENT,int,S1501,0,"S1501_C04_043M,S1501_C04_043EA",NA
S1701_C01_029E,Total!!Estimate!!EMPLOYMENT STATUS!!Civilian labor force 16 years and over!!Employed!!Male,POVERTY STATUS IN THE PAST 12 MONTHS,int,S1701,0,"S1701_C01_029M,S1701_C01_029EA",NA
S2002_C01_031E,"Median earnings (dollars)!!Total!!Estimate!!Full-time, year-round civilian workers 16 years and over with earnings!!OCCUPATION!!Building and grounds cleaning and maintenance occupations",MEDIAN EARNINGS IN THE PAST 12 MONTHS (IN 2016 INFLATION-ADJUSTED DOLLARS) OF WORKERS BY SEX AND WOMEN'S EARNINGS AS A PERCENTAGE OF MEN'S EARNINGS BY SELECTED CHARACTERISTICS,int,S2002,0,"S2002_C01_031M,S2002_C01_031EA",NA
S0503_C02_064E,Foreign born; Born in Europe!!Estimate!!Civilian employed population 16 years and over,SELECTED CHARACTERISTICS OF THE FOREIGN-BORN POPULATION BY REGION OF BIRTH: EUROPE,int,S0503,0,"S0503_C02_064M,S0503_C02_064EA",NA
S1701_C01_028E,Total!!Estimate!!EMPLOYMENT STATUS!!Civilian labor force 16 years and over!!Employed,POVERTY STATUS IN THE PAST 12 MONTHS,int,S1701,0,"S1701_C01_028M,S1701_C01_028EA",NA
S1501_C04_044E,Percent Males!!Estimate!!Native Hawaiian and Other Pacific Islander alone!!High school graduate or higher,EDUCATIONAL ATTAINMENT,int,S1501,0,"S1501_C04_044M,S1501_C04_044EA",NA
S2002_C01_030E,"Median earnings (dollars)!!Total!!Estimate!!Full-time, year-round civilian workers 16 years and over with earnings!!OCCUPATION!!Food preparation and serving related occupations",MEDIAN EARNINGS IN THE PAST 12 MONTHS (IN 2016 INFLATION-ADJUSTED DOLLARS) OF WORKERS BY SEX AND WOMEN'S EARNINGS AS A PERCENTAGE OF MEN'S EARNINGS BY SELECTED CHARACTERISTICS,int,S2002,0,"S2002_C01_030M,S2002_C01_030EA",NA
S0503_C02_065E,Foreign born; Born in Europe!!Estimate!!Civilian employed population 16 years and over!!CLASS OF WORKER!!Private wage and salary workers,SELECTED CHARACTERISTICS OF THE FOREIGN-BORN POPULATION BY REGION OF BIRTH: EUROPE,int,S0503,0,"S0503_C02_065M,S0503_C02_065EA",NA
S1501_C04_045E,Percent Males!!Estimate!!Native Hawaiian and Other Pacific Islander alone!!Bachelor's degree or higher,EDUCATIONAL ATTAINMENT,int,S1501,0,"S1501_C04_045M,S1501_C04_045EA",NA
S0503_C02_066E,Foreign born; Born in Europe!!Estimate!!Civilian employed population 16 years and over!!CLASS OF WORKER!!Government workers,SELECTED CHARACTERISTICS OF THE FOREIGN-BORN POPULATION BY REGION OF BIRTH: EUROPE,int,S0503,0,"S0503_C02_066M,S0503_C02_066EA",NA
S1501_C04_046E,Percent Males!!Estimate!!Some other race alone,EDUCATIONAL ATTAINMENT,int,S1501,0,"S1501_C04_046M,S1501_C04_046EA",NA
S2002_C01_035E,"Median earnings (dollars)!!Total!!Estimate!!Full-time, year-round civilian workers 16 years and over with earnings!!OCCUPATION!!Farming, fishing, and forestry occupations",MEDIAN EARNINGS IN THE PAST 12 MONTHS (IN 2016 INFLATION-ADJUSTED DOLLARS) OF WORKERS BY SEX AND WOMEN'S EARNINGS AS A PERCENTAGE OF MEN'S EARNINGS BY SELECTED CHARACTERISTICS,int,S2002,0,"S2002_C01_035M,S2002_C01_035EA",NA
S1701_C01_025E,"Total!!Estimate!!EDUCATIONAL ATTAINMENT!!Population 25 years and over!!Some college, associate's degree",POVERTY STATUS IN THE PAST 12 MONTHS,int,S1701,0,"S1701_C01_025M,S1701_C01_025EA",NA
S0503_C02_060E,Foreign born; Born in Europe!!Estimate!!EMPLOYMENT STATUS!!Population 16 years and over!!In labor force!!Civilian labor force!!Unemployed,SELECTED CHARACTERISTICS OF THE FOREIGN-BORN POPULATION BY REGION OF BIRTH: EUROPE,int,S0503,0,"S0503_C02_060M,S0503_C02_060EA",NA
S1501_C04_040E,Percent Males!!Estimate!!Asian alone,EDUCATIONAL ATTAINMENT,int,S1501,0,"S1501_C04_040M,S1501_C04_040EA",NA
S2002_C01_034E,"Median earnings (dollars)!!Total!!Estimate!!Full-time, year-round civilian workers 16 years and over with earnings!!OCCUPATION!!Office and administrative support occupations",MEDIAN EARNINGS IN THE PAST 12 MONTHS (IN 2016 INFLATION-ADJUSTED DOLLARS) OF WORKERS BY SEX AND WOMEN'S EARNINGS AS A PERCENTAGE OF MEN'S EARNINGS BY SELECTED CHARACTERISTICS,int,S2002,0,"S2002_C01_034M,S2002_C01_034EA",NA
S1701_C01_024E,Total!!Estimate!!EDUCATIONAL ATTAINMENT!!Population 25 years and over!!High school graduate (includes equivalency),POVERTY STATUS IN THE PAST 12 MONTHS,int,S1701,0,"S1701_C01_024M,S1701_C01_024EA",NA
S1501_C04_041E,Percent Males!!Estimate!!Asian alone!!High school graduate or higher,EDUCATIONAL ATTAINMENT,int,S1501,0,"S1501_C04_041M,S1501_C04_041EA",NA
S0503_C02_061E,Foreign born; Born in Europe!!Estimate!!EMPLOYMENT STATUS!!Population 16 years and over!!In labor force!!Civilian labor force!!Unemployed!!Percent of civilian labor force,SELECTED CHARACTERISTICS OF THE FOREIGN-BORN POPULATION BY REGION OF BIRTH: EUROPE,int,S0503,0,"S0503_C02_061M,S0503_C02_061EA",NA
S2002_C01_033E,"Median earnings (dollars)!!Total!!Estimate!!Full-time, year-round civilian workers 16 years and over with earnings!!OCCUPATION!!Sales and related occupations",MEDIAN EARNINGS IN THE PAST 12 MONTHS (IN 2016 INFLATION-ADJUSTED DOLLARS) OF WORKERS BY SEX AND WOMEN'S EARNINGS AS A PERCENTAGE OF MEN'S EARNINGS BY SELECTED CHARACTERISTICS,int,S2002,0,"S2002_C01_033M,S2002_C01_033EA",NA
S1701_C01_027E,Total!!Estimate!!EMPLOYMENT STATUS!!Civilian labor force 16 years and over,POVERTY STATUS IN THE PAST 12 MONTHS,int,S1701,0,"S1701_C01_027M,S1701_C01_027EA",NA
S1501_C04_042E,Percent Males!!Estimate!!Asian alone!!Bachelor's degree or higher,EDUCATIONAL ATTAINMENT,int,S1501,0,"S1501_C04_042M,S1501_C04_042EA",NA
S0503_C02_062E,Foreign born; Born in Europe!!Estimate!!EMPLOYMENT STATUS!!Population 16 years and over!!In labor force!!Armed Forces,SELECTED CHARACTERISTICS OF THE FOREIGN-BORN POPULATION BY REGION OF BIRTH: EUROPE,int,S0503,0,"S0503_C02_062M,S0503_C02_062EA",NA
S2002_C01_032E,"Median earnings (dollars)!!Total!!Estimate!!Full-time, year-round civilian workers 16 years and over with earnings!!OCCUPATION!!Personal care and service occupations",MEDIAN EARNINGS IN THE PAST 12 MONTHS (IN 2016 INFLATION-ADJUSTED DOLLARS) OF WORKERS BY SEX AND WOMEN'S EARNINGS AS A PERCENTAGE OF MEN'S EARNINGS BY SELECTED CHARACTERISTICS,int,S2002,0,"S2002_C01_032M,S2002_C01_032EA",NA
S1701_C01_026E,Total!!Estimate!!EDUCATIONAL ATTAINMENT!!Population 25 years and over!!Bachelor's degree or higher,POVERTY STATUS IN THE PAST 12 MONTHS,int,S1701,0,"S1701_C01_026M,S1701_C01_026EA",NA
S0601_C02_009E,Native; born in state of residence!!Estimate!!AGE!!75 years and over,SELECTED CHARACTERISTICS OF THE TOTAL AND NATIVE POPULATIONS IN THE UNITED STATES,int,S0601,0,"S0601_C02_009M,S0601_C02_009EA",NA
S2002_C01_039E,"Median earnings (dollars)!!Total!!Estimate!!Full-time, year-round civilian workers 16 years and over with earnings!!OCCUPATION!!Transportation occupations",MEDIAN EARNINGS IN THE PAST 12 MONTHS (IN 2016 INFLATION-ADJUSTED DOLLARS) OF WORKERS BY SEX AND WOMEN'S EARNINGS AS A PERCENTAGE OF MEN'S EARNINGS BY SELECTED CHARACTERISTICS,int,S2002,0,"S2002_C01_039M,S2002_C01_039EA",NA
S0503_C03_138E,Foreign born; Born in Northern and Western Europe!!Estimate!!SELECTED CHARACTERISTICS!!No telephone service available,SELECTED CHARACTERISTICS OF THE FOREIGN-BORN POPULATION BY REGION OF BIRTH: EUROPE,int,S0503,0,"S0503_C03_138M,S0503_C03_138EA",NA
S2301_C04_016E,Unemployment rate!!Estimate!!RACE AND HISPANIC OR LATINO ORIGIN!!Native Hawaiian and Other Pacific Islander alone,EMPLOYMENT STATUS,int,S2301,0,"S2301_C04_016M,S2301_C04_016EA",NA
S1701_C01_021E,"Total!!Estimate!!White alone, not Hispanic or Latino",POVERTY STATUS IN THE PAST 12 MONTHS,int,S1701,0,"S1701_C01_021M,S1701_C01_021EA",NA
S0103PR_C01_062E,Total!!Estimate!!LANGUAGE SPOKEN AT HOME AND ABILITY TO SPEAK ENGLISH!!Population 5 years and over,POPULATION 65 YEARS AND OVER IN PUERTO RICO,int,S0103PR,0,"S0103PR_C01_062M,S0103PR_C01_062EA",NA
S0503_C03_137E,Foreign born; Born in Northern and Western Europe!!Estimate!!VEHICLES AVAILABLE!!1 or more,SELECTED CHARACTERISTICS OF THE FOREIGN-BORN POPULATION BY REGION OF BIRTH: EUROPE,int,S0503,0,"S0503_C03_137M,S0503_C03_137EA",NA
S2002_C01_038E,"Median earnings (dollars)!!Total!!Estimate!!Full-time, year-round civilian workers 16 years and over with earnings!!OCCUPATION!!Production occupations",MEDIAN EARNINGS IN THE PAST 12 MONTHS (IN 2016 INFLATION-ADJUSTED DOLLARS) OF WORKERS BY SEX AND WOMEN'S EARNINGS AS A PERCENTAGE OF MEN'S EARNINGS BY SELECTED CHARACTERISTICS,int,S2002,0,"S2002_C01_038M,S2002_C01_038EA",NA
S0601_C02_008E,Native; born in state of residence!!Estimate!!AGE!!65 to 74 years,SELECTED CHARACTERISTICS OF THE TOTAL AND NATIVE POPULATIONS IN THE UNITED STATES,int,S0601,0,"S0601_C02_008M,S0601_C02_008EA",NA
S2301_C04_015E,Unemployment rate!!Estimate!!RACE AND HISPANIC OR LATINO ORIGIN!!Asian alone,EMPLOYMENT STATUS,int,S2301,0,"S2301_C04_015M,S2301_C04_015EA",NA
S1701_C01_020E,Total!!Estimate!!Hispanic or Latino origin (of any race),POVERTY STATUS IN THE PAST 12 MONTHS,int,S1701,0,"S1701_C01_020M,S1701_C01_020EA",NA
S0103PR_C01_063E,Total!!Estimate!!LANGUAGE SPOKEN AT HOME AND ABILITY TO SPEAK ENGLISH!!Population 5 years and over!!English only,POPULATION 65 YEARS AND OVER IN PUERTO RICO,int,S0103PR,0,"S0103PR_C01_063M,S0103PR_C01_063EA",NA
S1701_C01_023E,Total!!Estimate!!EDUCATIONAL ATTAINMENT!!Population 25 years and over!!Less than high school graduate,POVERTY STATUS IN THE PAST 12 MONTHS,int,S1701,0,"S1701_C01_023M,S1701_C01_023EA",NA
S0601_C02_007E,Native; born in state of residence!!Estimate!!AGE!!55 to 64 years,SELECTED CHARACTERISTICS OF THE TOTAL AND NATIVE POPULATIONS IN THE UNITED STATES,int,S0601,0,"S0601_C02_007M,S0601_C02_007EA",NA
S2301_C04_014E,Unemployment rate!!Estimate!!RACE AND HISPANIC OR LATINO ORIGIN!!American Indian and Alaska Native alone,EMPLOYMENT STATUS,int,S2301,0,"S2301_C04_014M,S2301_C04_014EA",NA
S0503_C03_136E,Foreign born; Born in Northern and Western Europe!!Estimate!!VEHICLES AVAILABLE!!None,SELECTED CHARACTERISTICS OF THE FOREIGN-BORN POPULATION BY REGION OF BIRTH: EUROPE,int,S0503,0,"S0503_C03_136M,S0503_C03_136EA",NA
S2002_C01_037E,"Median earnings (dollars)!!Total!!Estimate!!Full-time, year-round civilian workers 16 years and over with earnings!!OCCUPATION!!Installation, maintenance, and repair occupations",MEDIAN EARNINGS IN THE PAST 12 MONTHS (IN 2016 INFLATION-ADJUSTED DOLLARS) OF WORKERS BY SEX AND WOMEN'S EARNINGS AS A PERCENTAGE OF MEN'S EARNINGS BY SELECTED CHARACTERISTICS,int,S2002,0,"S2002_C01_037M,S2002_C01_037EA",NA
S0103PR_C01_060E,"Total!!Estimate!!PLACE OF BIRTH, NATIVITY AND CITIZENSHIP STATUS, AND YEAR OF ENTRY!!Total population!!Foreign born!!Naturalized U.S. citizen",POPULATION 65 YEARS AND OVER IN PUERTO RICO,int,S0103PR,0,"S0103PR_C01_060M,S0103PR_C01_060EA",NA
S0601_C02_006E,Native; born in state of residence!!Estimate!!AGE!!45 to 54 years,SELECTED CHARACTERISTICS OF THE TOTAL AND NATIVE POPULATIONS IN THE UNITED STATES,int,S0601,0,"S0601_C02_006M,S0601_C02_006EA",NA
S1701_C01_022E,Total!!Estimate!!EDUCATIONAL ATTAINMENT!!Population 25 years and over,POVERTY STATUS IN THE PAST 12 MONTHS,int,S1701,0,"S1701_C01_022M,S1701_C01_022EA",NA
S0503_C03_135E,Foreign born; Born in Northern and Western Europe!!Estimate!!1.01 or more occupants per room,SELECTED CHARACTERISTICS OF THE FOREIGN-BORN POPULATION BY REGION OF BIRTH: EUROPE,int,S0503,0,"S0503_C03_135M,S0503_C03_135EA",NA
S2301_C04_013E,Unemployment rate!!Estimate!!RACE AND HISPANIC OR LATINO ORIGIN!!Black or African American alone,EMPLOYMENT STATUS,int,S2301,0,"S2301_C04_013M,S2301_C04_013EA",NA
S2002_C01_036E,"Median earnings (dollars)!!Total!!Estimate!!Full-time, year-round civilian workers 16 years and over with earnings!!OCCUPATION!!Construction and extraction occupations",MEDIAN EARNINGS IN THE PAST 12 MONTHS (IN 2016 INFLATION-ADJUSTED DOLLARS) OF WORKERS BY SEX AND WOMEN'S EARNINGS AS A PERCENTAGE OF MEN'S EARNINGS BY SELECTED CHARACTERISTICS,int,S2002,0,"S2002_C01_036M,S2002_C01_036EA",NA
S0103PR_C01_061E,"Total!!Estimate!!PLACE OF BIRTH, NATIVITY AND CITIZENSHIP STATUS, AND YEAR OF ENTRY!!Total population!!Foreign born!!Not a U.S. citizen",POPULATION 65 YEARS AND OVER IN PUERTO RICO,int,S0103PR,0,"S0103PR_C01_061M,S0103PR_C01_061EA",NA
S0601_C02_005E,Native; born in state of residence!!Estimate!!AGE!!25 to 44 years,SELECTED CHARACTERISTICS OF THE TOTAL AND NATIVE POPULATIONS IN THE UNITED STATES,int,S0601,0,"S0601_C02_005M,S0601_C02_005EA",NA
S0701PR_C03_053E,Moved; from different municipio!!Estimate!!HOUSING TENURE!!Population 1 year and over in housing units,GEOGRAPHIC MOBILITY BY SELECTED CHARACTERISTICS IN PUERTO RICO,int,S0701PR,0,"S0701PR_C03_053M,S0701PR_C03_053EA",NA
S0103PR_C01_066E,Total!!Estimate!!EMPLOYMENT STATUS!!Civilian population 16 years and over,POPULATION 65 YEARS AND OVER IN PUERTO RICO,int,S0103PR,0,"S0103PR_C01_066M,S0103PR_C01_066EA",NA
S0503_C03_134E,Foreign born; Born in Northern and Western Europe!!Estimate!!Median number of rooms,SELECTED CHARACTERISTICS OF THE FOREIGN-BORN POPULATION BY REGION OF BIRTH: EUROPE,int,S0503,0,"S0503_C03_134M,S0503_C03_134EA",NA
S0504_C01_087E,"Total!!Estimate!!EARNINGS IN THE PAST 12 MONTHS (IN 2016 INFLATION-ADJUSTED DOLLARS) FOR FULL-TIME, YEAR-ROUND WORKERS!!Population 16 years and over with earnings","SELECTED CHARACTERISTICS OF THE FOREIGN-BORN POPULATION BY REGION OF BIRTH: AFRICA, NORTHERN AMERICA, AND OCEANIA",int,S0504,0,"S0504_C01_087M,S0504_C01_087EA",NA
S0505_C04_021E,Foreign born; Born in South Central Asia!!Estimate!!Median age (years),SELECTED CHARACTERISTICS OF THE FOREIGN-BORN POPULATION BY REGION OF BIRTH: ASIA,int,S0505,0,"S0505_C04_021M,S0505_C04_021EA",NA
S0505_C04_022E,Foreign born; Born in South Central Asia!!Estimate!!RACE AND HISPANIC OR LATINO ORIGIN!!One race,SELECTED CHARACTERISTICS OF THE FOREIGN-BORN POPULATION BY REGION OF BIRTH: ASIA,int,S0505,0,"S0505_C04_022M,S0505_C04_022EA",NA
S0601_C02_004E,Native; born in state of residence!!Estimate!!AGE!!18 to 24 years,SELECTED CHARACTERISTICS OF THE TOTAL AND NATIVE POPULATIONS IN THE UNITED STATES,int,S0601,0,"S0601_C02_004M,S0601_C02_004EA",NA
S2301_C04_019E,Unemployment rate!!Estimate!!Hispanic or Latino origin (of any race),EMPLOYMENT STATUS,int,S2301,0,"S2301_C04_019M,S2301_C04_019EA",NA
S0103PR_C01_067E,Total!!Estimate!!EMPLOYMENT STATUS!!Civilian population 16 years and over!!In labor force,POPULATION 65 YEARS AND OVER IN PUERTO RICO,int,S0103PR,0,"S0103PR_C01_067M,S0103PR_C01_067EA",NA
S0503_C03_133E,Foreign born; Born in Northern and Western Europe!!Estimate!!ROOMS!!8 or more rooms,SELECTED CHARACTERISTICS OF THE FOREIGN-BORN POPULATION BY REGION OF BIRTH: EUROPE,int,S0503,0,"S0503_C03_133M,S0503_C03_133EA",NA
S0701PR_C03_052E,Moved; from different municipio!!Estimate!!POVERTY STATUS IN THE PAST 12 MONTHS!!Population 1 year and over for whom poverty status is determined!!At or above 150 percent of the poverty level,GEOGRAPHIC MOBILITY BY SELECTED CHARACTERISTICS IN PUERTO RICO,int,S0701PR,0,"S0701PR_C03_052M,S0701PR_C03_052EA",NA
S0504_C01_088E,"Total!!Estimate!!EARNINGS IN THE PAST 12 MONTHS (IN 2016 INFLATION-ADJUSTED DOLLARS) FOR FULL-TIME, YEAR-ROUND WORKERS!!Population 16 years and over with earnings!!$1 to $9,999 or loss","SELECTED CHARACTERISTICS OF THE FOREIGN-BORN POPULATION BY REGION OF BIRTH: AFRICA, NORTHERN AMERICA, AND OCEANIA",int,S0504,0,"S0504_C01_088M,S0504_C01_088EA",NA
S2301_C04_018E,Unemployment rate!!Estimate!!RACE AND HISPANIC OR LATINO ORIGIN!!Two or more races,EMPLOYMENT STATUS,int,S2301,0,"S2301_C04_018M,S2301_C04_018EA",NA
S0503_C03_132E,Foreign born; Born in Northern and Western Europe!!Estimate!!ROOMS!!6 or 7 rooms,SELECTED CHARACTERISTICS OF THE FOREIGN-BORN POPULATION BY REGION OF BIRTH: EUROPE,int,S0503,0,"S0503_C03_132M,S0503_C03_132EA",NA
S0701PR_C03_051E,Moved; from different municipio!!Estimate!!POVERTY STATUS IN THE PAST 12 MONTHS!!Population 1 year and over for whom poverty status is determined!!100 to 149 percent of the poverty level,GEOGRAPHIC MOBILITY BY SELECTED CHARACTERISTICS IN PUERTO RICO,int,S0701PR,0,"S0701PR_C03_051M,S0701PR_C03_051EA",NA
S0601_C02_003E,Native; born in state of residence!!Estimate!!AGE!!5 to 17 years,SELECTED CHARACTERISTICS OF THE TOTAL AND NATIVE POPULATIONS IN THE UNITED STATES,int,S0601,0,"S0601_C02_003M,S0601_C02_003EA",NA
S0504_C01_089E,"Total!!Estimate!!EARNINGS IN THE PAST 12 MONTHS (IN 2016 INFLATION-ADJUSTED DOLLARS) FOR FULL-TIME, YEAR-ROUND WORKERS!!Population 16 years and over with earnings!!$10,000 to $14,999","SELECTED CHARACTERISTICS OF THE FOREIGN-BORN POPULATION BY REGION OF BIRTH: AFRICA, NORTHERN AMERICA, AND OCEANIA",int,S0504,0,"S0504_C01_089M,S0504_C01_089EA",NA
S0103PR_C01_064E,Total!!Estimate!!LANGUAGE SPOKEN AT HOME AND ABILITY TO SPEAK ENGLISH!!Population 5 years and over!!Language other than English,POPULATION 65 YEARS AND OVER IN PUERTO RICO,int,S0103PR,0,"S0103PR_C01_064M,S0103PR_C01_064EA",NA
S2301_C04_017E,Unemployment rate!!Estimate!!RACE AND HISPANIC OR LATINO ORIGIN!!Some other race alone,EMPLOYMENT STATUS,int,S2301,0,"S2301_C04_017M,S2301_C04_017EA",NA
S0103PR_C01_065E,"Total!!Estimate!!LANGUAGE SPOKEN AT HOME AND ABILITY TO SPEAK ENGLISH!!Population 5 years and over!!Language other than English!!Speak English less than ""very well""",POPULATION 65 YEARS AND OVER IN PUERTO RICO,int,S0103PR,0,"S0103PR_C01_065M,S0103PR_C01_065EA",NA
S0503_C03_131E,Foreign born; Born in Northern and Western Europe!!Estimate!!ROOMS!!4 or 5 rooms,SELECTED CHARACTERISTICS OF THE FOREIGN-BORN POPULATION BY REGION OF BIRTH: EUROPE,int,S0503,0,"S0503_C03_131M,S0503_C03_131EA",NA
S0701PR_C03_050E,Moved; from different municipio!!Estimate!!POVERTY STATUS IN THE PAST 12 MONTHS!!Population 1 year and over for whom poverty status is determined!!Below 100 percent of the poverty level,GEOGRAPHIC MOBILITY BY SELECTED CHARACTERISTICS IN PUERTO RICO,int,S0701PR,0,"S0701PR_C03_050M,S0701PR_C03_050EA",NA
S0601_C02_002E,Native; born in state of residence!!Estimate!!AGE!!Under 5 years,SELECTED CHARACTERISTICS OF THE TOTAL AND NATIVE POPULATIONS IN THE UNITED STATES,int,S0601,0,"S0601_C02_002M,S0601_C02_002EA",NA
S0505_C04_020E,Foreign born; Born in South Central Asia!!Estimate!!85 years and over,SELECTED CHARACTERISTICS OF THE FOREIGN-BORN POPULATION BY REGION OF BIRTH: ASIA,int,S0505,0,"S0505_C04_020M,S0505_C04_020EA",NA
S0504_C01_096E,"Total!!Estimate!!Median earnings (dollars) for full-time, year-round workers!!Female","SELECTED CHARACTERISTICS OF THE FOREIGN-BORN POPULATION BY REGION OF BIRTH: AFRICA, NORTHERN AMERICA, AND OCEANIA",int,S0504,0,"S0504_C01_096M,S0504_C01_096EA",NA
S2407_C02_008E,Employee of private company workers!!Estimate!!Information,INDUSTRY BY CLASS OF WORKER FOR THE CIVILIAN EMPLOYED POPULATION 16 YEARS AND OVER,int,S2407,0,"S2407_C02_008M,S2407_C02_008EA",NA
S0701PR_C03_044E,"Moved; from different municipio!!Estimate!!INDIVIDUAL INCOME IN THE PAST 12 MONTHS (IN 2016 INFLATION-ADJUSTED DOLLARS)!!Population 15 years and over!!$35,000 to $49,999",GEOGRAPHIC MOBILITY BY SELECTED CHARACTERISTICS IN PUERTO RICO,int,S0701PR,0,"S0701PR_C03_044M,S0701PR_C03_044EA",NA
S0701_C02_027E,Moved; within same county!!Estimate!!NATIVITY AND CITIZENSHIP STATUS!!Foreign born!!Not a U.S. citizen,GEOGRAPHIC MOBILITY BY SELECTED CHARACTERISTICS IN THE UNITED STATES,int,S0701,0,"S0701_C02_027M,S0701_C02_027EA",NA
S0103PR_C01_059E,"Total!!Estimate!!PLACE OF BIRTH, NATIVITY AND CITIZENSHIP STATUS, AND YEAR OF ENTRY!!Total population!!Foreign born!!Entered before 2000",POPULATION 65 YEARS AND OVER IN PUERTO RICO,int,S0103PR,0,"S0103PR_C01_059M,S0103PR_C01_059EA",NA
S0501_C04_051E,Foreign born; Naturalized citizen!!Estimate!!EMPLOYMENT STATUS!!Population 16 years and over!!In labor force!!Civilian labor force!!Employed,SELECTED CHARACTERISTICS OF THE NATIVE AND FOREIGN-BORN POPULATIONS,int,S0501,0,"S0501_C04_051M,S0501_C04_051EA",NA
S0601_C02_012E,Native; born in state of residence!!Estimate!!SEX!!Female,SELECTED CHARACTERISTICS OF THE TOTAL AND NATIVE POPULATIONS IN THE UNITED STATES,int,S0601,0,"S0601_C02_012M,S0601_C02_012EA",NA
S0505_C03_042E,"Foreign born; Born in Eastern Asia!!Estimate!!SCHOOL ENROLLMENT!!Population 3 years and over enrolled in school!!Nursery school, preschool",SELECTED CHARACTERISTICS OF THE FOREIGN-BORN POPULATION BY REGION OF BIRTH: ASIA,int,S0505,0,"S0505_C03_042M,S0505_C03_042EA",NA
S0505_C04_014E,Foreign born; Born in South Central Asia!!Estimate!!18 to 24 years,SELECTED CHARACTERISTICS OF THE FOREIGN-BORN POPULATION BY REGION OF BIRTH: ASIA,int,S0505,0,"S0505_C04_014M,S0505_C04_014EA",NA
S2407_C02_009E,"Employee of private company workers!!Estimate!!Finance and insurance, and real estate and rental and leasing",INDUSTRY BY CLASS OF WORKER FOR THE CIVILIAN EMPLOYED POPULATION 16 YEARS AND OVER,int,S2407,0,"S2407_C02_009M,S2407_C02_009EA",NA
S0504_C01_095E,"Total!!Estimate!!Median earnings (dollars) for full-time, year-round workers!!Male","SELECTED CHARACTERISTICS OF THE FOREIGN-BORN POPULATION BY REGION OF BIRTH: AFRICA, NORTHERN AMERICA, AND OCEANIA",int,S0504,0,"S0504_C01_095M,S0504_C01_095EA",NA
S0701_C02_028E,Moved; within same county!!Estimate!!MARITAL STATUS!!Population 15 years and over,GEOGRAPHIC MOBILITY BY SELECTED CHARACTERISTICS IN THE UNITED STATES,int,S0701,0,"S0701_C02_028M,S0701_C02_028EA",NA
S0103PR_C01_058E,"Total!!Estimate!!PLACE OF BIRTH, NATIVITY AND CITIZENSHIP STATUS, AND YEAR OF ENTRY!!Total population!!Foreign born!!Entered 2000 to 2009",POPULATION 65 YEARS AND OVER IN PUERTO RICO,int,S0103PR,0,"S0103PR_C01_058M,S0103PR_C01_058EA",NA
S0501_C04_052E,Foreign born; Naturalized citizen!!Estimate!!EMPLOYMENT STATUS!!Population 16 years and over!!In labor force!!Civilian labor force!!Unemployed,SELECTED CHARACTERISTICS OF THE NATIVE AND FOREIGN-BORN POPULATIONS,int,S0501,0,"S0501_C04_052M,S0501_C04_052EA",NA
S0601_C02_013E,Native; born in state of residence!!Estimate!!RACE AND HISPANIC OR LATINO ORIGIN!!One race,SELECTED CHARACTERISTICS OF THE TOTAL AND NATIVE POPULATIONS IN THE UNITED STATES,int,S0601,0,"S0601_C02_013M,S0601_C02_013EA",NA
S0505_C03_043E,Foreign born; Born in Eastern Asia!!Estimate!!SCHOOL ENROLLMENT!!Population 3 years and over enrolled in school!!Elementary school (grades K-8),SELECTED CHARACTERISTICS OF THE FOREIGN-BORN POPULATION BY REGION OF BIRTH: ASIA,int,S0505,0,"S0505_C03_043M,S0505_C03_043EA",NA
