geo_description,label,year,description,estimate,moe,se,cv,file
"Forsyth County, NC",HD01_VD01,2007,Estimate; Total:,87533,3349.28,1708.82,1.95,African American
"Forsyth County, NC",HD01_VD17,2017,"Estimate; Income in the past 12 months below poverty level: - Other family: - Female householder, no husband present: - With related children under 18 years:",7897,1547.74,789.66,10,African American
"Forsyth County, NC",HD01_VD18,2017,"Estimate; Income in the past 12 months below poverty level: - Other family: - Female householder, no husband present: - With related children under 18 years: - Under 5 years only",1741,961.53,490.58,28.18,African American
"Forsyth County, NC",HD01_VD19,2017,"Estimate; Income in the past 12 months below poverty level: - Other family: - Female householder, no husband present: - With related children under 18 years: - Under 5 years and 5 to 17 years",1916,956.77,488.15,25.48,African American
"Forsyth County, NC",HD01_VD20,2017,"Estimate; Income in the past 12 months below poverty level: - Other family: - Female householder, no husband present: - With related children under 18 years: - 5 to 17 years only",4240,959.15,489.36,11.54,African American
"Forsyth County, NC",HD01_VD21,2017,"Estimate; Income in the past 12 months below poverty level: - Other family: - Female householder, no husband present: - No related children under 18 years",932,483.74,246.81,26.48,African American
"Forsyth County, NC",HD01_VD22,2017,Estimate; Income in the past 12 months at or above poverty level:,76009,3325.45,1696.66,2.23,African American
"Forsyth County, NC",HD01_VD23,2017,Estimate; Income in the past 12 months at or above poverty level: - Married-couple family:,58357,2959.66,1510.03,2.59,African American
"Forsyth County, NC",HD01_VD24,2017,Estimate; Income in the past 12 months at or above poverty level: - Married-couple family: - With related children under 18 years:,23142,2599.83,1326.44,5.73,African American
"Forsyth County, NC",HD01_VD25,2017,Estimate; Income in the past 12 months at or above poverty level: - Married-couple family: - With related children under 18 years: - Under 5 years only,4936,1326.13,676.6,13.71,African American
"Forsyth County, NC",HD01_VD26,2017,Estimate; Income in the past 12 months at or above poverty level: - Married-couple family: - With related children under 18 years: - Under 5 years and 5 to 17 years,3801,973.45,496.66,13.07,African American
"Forsyth County, NC",HD01_VD27,2017,Estimate; Income in the past 12 months at or above poverty level: - Married-couple family: - With related children under 18 years: - 5 to 17 years only,14405,1944.51,992.1,6.89,African American
"Forsyth County, NC",HD01_VD28,2017,Estimate; Income in the past 12 months at or above poverty level: - Married-couple family: - No related children under 18 years,35215,2167.32,1105.78,3.14,African American
"Forsyth County, NC",HD01_VD29,2017,Estimate; Income in the past 12 months at or above poverty level: - Other family:,17652,2633.19,1343.46,7.61,African American
"Forsyth County, NC",HD01_VD30,2017,"Estimate; Income in the past 12 months at or above poverty level: - Other family: - Male householder, no wife present:",5145,1121.19,572.04,11.12,African American
"Forsyth County, NC",HD01_VD31,2017,"Estimate; Income in the past 12 months at or above poverty level: - Other family: - Male householder, no wife present: - With related children under 18 years:",2718,941.28,480.24,17.67,African American
"Forsyth County, NC",HD01_VD32,2017,"Estimate; Income in the past 12 months at or above poverty level: - Other family: - Male householder, no wife present: - With related children under 18 years: - Under 5 years only",722,509.96,260.18,36.04,African American
"Forsyth County, NC",HD01_VD33,2017,"Estimate; Income in the past 12 months at or above poverty level: - Other family: - Male householder, no wife present: - With related children under 18 years: - Under 5 years and 5 to 17 years",541,508.77,259.58,47.98,African American
"Forsyth County, NC",HD01_VD34,2017,"Estimate; Income in the past 12 months at or above poverty level: - Other family: - Male householder, no wife present: - With related children under 18 years: - 5 to 17 years only",1455,683.91,348.93,23.98,African American
"Forsyth County, NC",HD01_VD35,2017,"Estimate; Income in the past 12 months at or above poverty level: - Other family: - Male householder, no wife present: - No related children under 18 years",2427,949.62,484.5,19.96,African American
"Forsyth County, NC",HD01_VD36,2017,"Estimate; Income in the past 12 months at or above poverty level: - Other family: - Female householder, no husband present:",12507,2288.85,1167.78,9.34,African American
"Forsyth County, NC",HD01_VD37,2017,"Estimate; Income in the past 12 months at or above poverty level: - Other family: - Female householder, no husband present: - With related children under 18 years:",7048,1619.23,826.14,11.72,African American
"Forsyth County, NC",HD01_VD38,2017,"Estimate; Income in the past 12 months at or above poverty level: - Other family: - Female householder, no husband present: - With related children under 18 years: - Under 5 years only",857,630.3,321.58,37.52,African American
"Forsyth County, NC",HD01_VD39,2017,"Estimate; Income in the past 12 months at or above poverty level: - Other family: - Female householder, no husband present: - With related children under 18 years: - Under 5 years and 5 to 17 years",955,651.74,332.52,34.82,African American
"Forsyth County, NC",HD01_VD40,2017,"Estimate; Income in the past 12 months at or above poverty level: - Other family: - Female householder, no husband present: - With related children under 18 years: - 5 to 17 years only",5236,1109.28,565.96,10.81,African American
"Forsyth County, NC",HD01_VD41,2017,"Estimate; Income in the past 12 months at or above poverty level: - Other family: - Female householder, no husband present: - No related children under 18 years",5459,1284.43,655.32,12,African American
"Forsyth County, NC",HD01_VD01,NA,Estimate; Total:,22662,2000.51,1020.67,4.5,African American
"Forsyth County, NC",HD01_VD02,NA,Estimate; Income in the past 12 months below poverty level:,6152,1476.26,753.19,12.24,African American
"Forsyth County, NC",HD01_VD03,NA,Estimate; Income in the past 12 months below poverty level: - Married-couple family:,671,473.02,241.34,35.97,African American
"Forsyth County, NC",HD01_VD04,NA,Estimate; Income in the past 12 months below poverty level: - Married-couple family: - With related children under 18 years:,548,425.36,217.02,39.6,African American
"Forsyth County, NC",HD01_VD05,NA,Estimate; Income in the past 12 months below poverty level: - Married-couple family: - With related children under 18 years: - Under 5 years only,186,209.7,106.99,57.52,African American
"Forsyth County, NC",HD01_VD06,NA,Estimate; Income in the past 12 months below poverty level: - Married-couple family: - With related children under 18 years: - Under 5 years and 5 to 17 years,285,322.89,164.74,57.8,African American
"Forsyth County, NC",HD01_VD07,NA,Estimate; Income in the past 12 months below poverty level: - Married-couple family: - With related children under 18 years: - 5 to 17 years only,77,98.89,50.45,65.52,African American
"Forsyth County, NC",HD01_VD08,NA,Estimate; Income in the past 12 months below poverty level: - Married-couple family: - No related children under 18 years,123,140.6,71.73,58.32,African American
"Forsyth County, NC",HD01_VD09,NA,Estimate; Income in the past 12 months below poverty level: - Other family:,5481,1407.15,717.93,13.1,African American
"Forsyth County, NC",HD01_VD10,NA,"Estimate; Income in the past 12 months below poverty level: - Other family: - Male householder, no wife present:",321,399.15,203.65,63.44,African American
"Forsyth County, NC",HD01_VD11,NA,"Estimate; Income in the past 12 months below poverty level: - Other family: - Male householder, no wife present: - With related children under 18 years:",214,260.94,133.13,62.21,African American
"Forsyth County, NC",HD01_VD12,NA,"Estimate; Income in the past 12 months below poverty level: - Other family: - Male householder, no wife present: - With related children under 18 years: - Under 5 years only",0,229.96,117.33,Inf,African American
"Forsyth County, NC",HD01_VD13,NA,"Estimate; Income in the past 12 months below poverty level: - Other family: - Male householder, no wife present: - With related children under 18 years: - Under 5 years and 5 to 17 years",109,215.66,110.03,100.94,African American
"Forsyth County, NC",HD01_VD14,NA,"Estimate; Income in the past 12 months below poverty level: - Other family: - Male householder, no wife present: - With related children under 18 years: - 5 to 17 years only",105,144.17,73.56,70.06,African American
"Forsyth County, NC",HD01_VD15,NA,"Estimate; Income in the past 12 months below poverty level: - Other family: - Male householder, no wife present: - No related children under 18 years",107,168,85.71,80.1,African American
"Forsyth County, NC",HD01_VD16,NA,"Estimate; Income in the past 12 months below poverty level: - Other family: - Female householder, no husband present:",5160,1332.09,679.64,13.17,African American
"Forsyth County, NC",HD01_VD17,NA,"Estimate; Income in the past 12 months below poverty level: - Other family: - Female householder, no husband present: - With related children under 18 years:",4684,1253.45,639.52,13.65,African American
"Forsyth County, NC",HD01_VD18,NA,"Estimate; Income in the past 12 months below poverty level: - Other family: - Female householder, no husband present: - With related children under 18 years: - Under 5 years only",1188,828.09,422.49,35.56,African American
"Forsyth County, NC",HD01_VD19,NA,"Estimate; Income in the past 12 months below poverty level: - Other family: - Female householder, no husband present: - With related children under 18 years: - Under 5 years and 5 to 17 years",962,661.28,337.39,35.07,African American
"Forsyth County, NC",HD01_VD20,NA,"Estimate; Income in the past 12 months below poverty level: - Other family: - Female householder, no husband present: - With related children under 18 years: - 5 to 17 years only",2534,735.15,375.08,14.8,African American
"Forsyth County, NC",HD01_VD21,NA,"Estimate; Income in the past 12 months below poverty level: - Other family: - Female householder, no husband present: - No related children under 18 years",476,328.85,167.78,35.25,African American
"Forsyth County, NC",HD01_VD22,NA,Estimate; Income in the past 12 months at or above poverty level:,16510,1892.09,965.35,5.85,African American
"Forsyth County, NC",HD01_VD23,NA,Estimate; Income in the past 12 months at or above poverty level: - Married-couple family:,8421,1513.19,772.04,9.17,African American
"Forsyth County, NC",HD01_VD24,NA,Estimate; Income in the past 12 months at or above poverty level: - Married-couple family: - With related children under 18 years:,3804,1229.62,627.36,16.49,African American
"Forsyth County, NC",HD01_VD25,NA,Estimate; Income in the past 12 months at or above poverty level: - Married-couple family: - With related children under 18 years: - Under 5 years only,571,632.68,322.8,56.53,African American
"Forsyth County, NC",HD01_VD26,NA,Estimate; Income in the past 12 months at or above poverty level: - Married-couple family: - With related children under 18 years: - Under 5 years and 5 to 17 years,915,577.87,294.83,32.22,African American
"Forsyth County, NC",HD01_VD27,NA,Estimate; Income in the past 12 months at or above poverty level: - Married-couple family: - With related children under 18 years: - 5 to 17 years only,2318,916.26,467.48,20.17,African American
"Forsyth County, NC",HD01_VD28,NA,Estimate; Income in the past 12 months at or above poverty level: - Married-couple family: - No related children under 18 years,4617,887.66,452.89,9.81,African American
"Forsyth County, NC",HD01_VD29,NA,Estimate; Income in the past 12 months at or above poverty level: - Other family:,8089,1675.23,854.71,10.57,African American
"Forsyth County, NC",HD01_VD30,NA,"Estimate; Income in the past 12 months at or above poverty level: - Other family: - Male householder, no wife present:",1485,769.7,392.7,26.44,African American
"Forsyth County, NC",HD01_VD31,NA,"Estimate; Income in the past 12 months at or above poverty level: - Other family: - Male householder, no wife present: - With related children under 18 years:",273,324.09,165.35,60.57,African American
"Forsyth County, NC",HD01_VD32,NA,"Estimate; Income in the past 12 months at or above poverty level: - Other family: - Male householder, no wife present: - With related children under 18 years: - Under 5 years only",220,307.4,156.84,71.29,African American
"Forsyth County, NC",HD01_VD33,NA,"Estimate; Income in the past 12 months at or above poverty level: - Other family: - Male householder, no wife present: - With related children under 18 years: - Under 5 years and 5 to 17 years",0,229.96,117.33,Inf,African American
"Forsyth County, NC",HD01_VD34,NA,"Estimate; Income in the past 12 months at or above poverty level: - Other family: - Male householder, no wife present: - With related children under 18 years: - 5 to 17 years only",53,106.04,54.1,102.08,African American
"Forsyth County, NC",HD01_VD35,NA,"Estimate; Income in the past 12 months at or above poverty level: - Other family: - Male householder, no wife present: - No related children under 18 years",1212,728,371.43,30.65,African American
"Forsyth County, NC",HD01_VD36,NA,"Estimate; Income in the past 12 months at or above poverty level: - Other family: - Female householder, no husband present:",6604,1436.94,733.13,11.1,African American
"Forsyth County, NC",HD01_VD37,NA,"Estimate; Income in the past 12 months at or above poverty level: - Other family: - Female householder, no husband present: - With related children under 18 years:",3826,1154.55,589.06,15.4,African American
"Forsyth County, NC",HD01_VD38,NA,"Estimate; Income in the past 12 months at or above poverty level: - Other family: - Female householder, no husband present: - With related children under 18 years: - Under 5 years only",411,477.79,243.77,59.31,African American
"Forsyth County, NC",HD01_VD39,NA,"Estimate; Income in the past 12 months at or above poverty level: - Other family: - Female householder, no husband present: - With related children under 18 years: - Under 5 years and 5 to 17 years",476,402.72,205.47,43.17,African American
"Forsyth County, NC",HD01_VD40,NA,"Estimate; Income in the past 12 months at or above poverty level: - Other family: - Female householder, no husband present: - With related children under 18 years: - 5 to 17 years only",2939,861.45,439.52,14.95,African American
"Forsyth County, NC",HD01_VD41,NA,"Estimate; Income in the past 12 months at or above poverty level: - Other family: - Female householder, no husband present: - No related children under 18 years",2778,766.13,390.88,14.07,African American
"Forsyth County, NC",HD01_VD01,NA,Estimate; Total:,89576,3213.45,1639.52,1.83,African American
"Forsyth County, NC",HD01_VD02,NA,Estimate; Income in the past 12 months below poverty level:,13152,2139.91,1091.79,8.3,African American
"Forsyth County, NC",HD01_VD03,NA,Estimate; Income in the past 12 months below poverty level: - Married-couple family:,4413,1235.57,630.39,14.28,African American
"Forsyth County, NC",HD01_VD04,NA,Estimate; Income in the past 12 months below poverty level: - Married-couple family: - With related children under 18 years:,3684,1310.64,668.69,18.15,African American
"Forsyth County, NC",HD01_VD05,NA,Estimate; Income in the past 12 months below poverty level: - Married-couple family: - With related children under 18 years: - Under 5 years only,378,334.81,170.82,45.19,African American
"Forsyth County, NC",HD01_VD06,NA,Estimate; Income in the past 12 months below poverty level: - Married-couple family: - With related children under 18 years: - Under 5 years and 5 to 17 years,2018,967.49,493.62,24.46,African American
"Forsyth County, NC",HD01_VD07,NA,Estimate; Income in the past 12 months below poverty level: - Married-couple family: - With related children under 18 years: - 5 to 17 years only,1288,875.74,446.81,34.69,African American
"Forsyth County, NC",HD01_VD08,NA,Estimate; Income in the past 12 months below poverty level: - Married-couple family: - No related children under 18 years,729,313.36,159.88,21.93,African American
"Forsyth County, NC",HD01_VD09,NA,Estimate; Income in the past 12 months below poverty level: - Other family:,8739,1825.36,931.31,10.66,African American
"Forsyth County, NC",HD01_VD10,NA,"Estimate; Income in the past 12 months below poverty level: - Other family: - Male householder, no wife present:",1181,638.64,325.84,27.59,African American
"Forsyth County, NC",HD01_VD11,NA,"Estimate; Income in the past 12 months below poverty level: - Other family: - Male householder, no wife present: - With related children under 18 years:",720,468.26,238.91,33.18,African American
"Forsyth County, NC",HD01_VD12,NA,"Estimate; Income in the past 12 months below poverty level: - Other family: - Male householder, no wife present: - With related children under 18 years: - Under 5 years only",221,270.47,137.99,62.44,African American
"Forsyth County, NC",HD01_VD13,NA,"Estimate; Income in the past 12 months below poverty level: - Other family: - Male householder, no wife present: - With related children under 18 years: - Under 5 years and 5 to 17 years",247,271.66,138.6,56.11,African American
"Forsyth County, NC",HD01_VD14,NA,"Estimate; Income in the past 12 months below poverty level: - Other family: - Male householder, no wife present: - With related children under 18 years: - 5 to 17 years only",252,256.17,130.7,51.87,African American
"Forsyth County, NC",HD01_VD15,NA,"Estimate; Income in the past 12 months below poverty level: - Other family: - Male householder, no wife present: - No related children under 18 years",461,409.87,209.12,45.36,African American
"Forsyth County, NC",HD01_VD16,NA,"Estimate; Income in the past 12 months below poverty level: - Other family: - Female householder, no husband present:",7558,1755.06,895.44,11.85,African American
"Forsyth County, NC",HD01_VD17,NA,"Estimate; Income in the past 12 months below poverty level: - Other family: - Female householder, no husband present: - With related children under 18 years:",6493,1602.55,817.63,12.59,African American
"Forsyth County, NC",HD01_VD18,NA,"Estimate; Income in the past 12 months below poverty level: - Other family: - Female householder, no husband present: - With related children under 18 years: - Under 5 years only",1265,710.13,362.31,28.64,African American
"Forsyth County, NC",HD01_VD19,NA,"Estimate; Income in the past 12 months below poverty level: - Other family: - Female householder, no husband present: - With related children under 18 years: - Under 5 years and 5 to 17 years",2131,898.38,458.36,21.51,African American
"Forsyth County, NC",HD01_VD20,NA,"Estimate; Income in the past 12 months below poverty level: - Other family: - Female householder, no husband present: - With related children under 18 years: - 5 to 17 years only",3097,1166.47,595.14,19.22,African American
"Forsyth County, NC",HD01_VD21,NA,"Estimate; Income in the past 12 months below poverty level: - Other family: - Female householder, no husband present: - No related children under 18 years",1065,716.09,365.35,34.31,African American
"Forsyth County, NC",HD01_VD22,NA,Estimate; Income in the past 12 months at or above poverty level:,76424,3288.51,1677.81,2.2,African American
"Forsyth County, NC",HD01_VD23,NA,Estimate; Income in the past 12 months at or above poverty level: - Married-couple family:,58958,3088.34,1575.68,2.67,African American
"Forsyth County, NC",HD01_VD24,NA,Estimate; Income in the past 12 months at or above poverty level: - Married-couple family: - With related children under 18 years:,22796,2259.06,1152.58,5.06,African American
"Forsyth County, NC",HD01_VD25,NA,Estimate; Income in the past 12 months at or above poverty level: - Married-couple family: - With related children under 18 years: - Under 5 years only,3706,1065.19,543.46,14.66,African American
"Forsyth County, NC",HD01_VD26,NA,Estimate; Income in the past 12 months at or above poverty level: - Married-couple family: - With related children under 18 years: - Under 5 years and 5 to 17 years,3677,986.55,503.34,13.69,African American
"Forsyth County, NC",HD01_VD27,NA,Estimate; Income in the past 12 months at or above poverty level: - Married-couple family: - With related children under 18 years: - 5 to 17 years only,15413,2161.36,1102.73,7.15,African American
"Forsyth County, NC",HD01_VD28,NA,Estimate; Income in the past 12 months at or above poverty level: - Married-couple family: - No related children under 18 years,36162,2452.09,1251.07,3.46,African American
"Forsyth County, NC",HD01_VD29,NA,Estimate; Income in the past 12 months at or above poverty level: - Other family:,17466,2529.53,1290.58,7.39,African American
"Forsyth County, NC",HD01_VD30,NA,"Estimate; Income in the past 12 months at or above poverty level: - Other family: - Male householder, no wife present:",4049,1247.49,636.47,15.72,African American
"Forsyth County, NC",HD01_VD31,NA,"Estimate; Income in the past 12 months at or above poverty level: - Other family: - Male householder, no wife present: - With related children under 18 years:",1730,812.6,414.59,23.96,African American
"Forsyth County, NC",HD01_VD32,NA,"Estimate; Income in the past 12 months at or above poverty level: - Other family: - Male householder, no wife present: - With related children under 18 years: - Under 5 years only",444,521.87,266.26,59.97,African American
"Forsyth County, NC",HD01_VD33,NA,"Estimate; Income in the past 12 months at or above poverty level: - Other family: - Male householder, no wife present: - With related children under 18 years: - Under 5 years and 5 to 17 years",374,470.64,240.12,64.2,African American
"Forsyth County, NC",HD01_VD34,NA,"Estimate; Income in the past 12 months at or above poverty level: - Other family: - Male householder, no wife present: - With related children under 18 years: - 5 to 17 years only",912,520.68,265.65,29.13,African American
"Forsyth County, NC",HD01_VD35,NA,"Estimate; Income in the past 12 months at or above poverty level: - Other family: - Male householder, no wife present: - No related children under 18 years",2319,1017.53,519.15,22.39,African American
"Forsyth County, NC",HD01_VD36,NA,"Estimate; Income in the past 12 months at or above poverty level: - Other family: - Female householder, no husband present:",13417,2240,1142.86,8.52,African American
"Forsyth County, NC",HD01_VD37,NA,"Estimate; Income in the past 12 months at or above poverty level: - Other family: - Female householder, no husband present: - With related children under 18 years:",8751,2001.7,1021.28,11.67,African American
"Forsyth County, NC",HD01_VD38,NA,"Estimate; Income in the past 12 months at or above poverty level: - Other family: - Female householder, no husband present: - With related children under 18 years: - Under 5 years only",1168,782.81,399.39,34.19,African American
"Forsyth County, NC",HD01_VD39,NA,"Estimate; Income in the past 12 months at or above poverty level: - Other family: - Female householder, no husband present: - With related children under 18 years: - Under 5 years and 5 to 17 years",609,463.49,236.47,38.83,African American
"Forsyth County, NC",HD01_VD40,NA,"Estimate; Income in the past 12 months at or above poverty level: - Other family: - Female householder, no husband present: - With related children under 18 years: - 5 to 17 years only",6974,1726.47,880.85,12.63,African American
"Forsyth County, NC",HD01_VD41,NA,"Estimate; Income in the past 12 months at or above poverty level: - Other family: - Female householder, no husband present: - No related children under 18 years",4666,1146.21,584.8,12.53,African American
"Forsyth County, NC",HD01_VD01,NA,Estimate; Total:,22000,2031.49,1036.47,4.71,African American
"Forsyth County, NC",HD01_VD02,NA,Estimate; Income in the past 12 months below poverty level:,6151,1613.28,823.1,13.38,African American
"Forsyth County, NC",HD01_VD03,NA,Estimate; Income in the past 12 months below poverty level: - Married-couple family:,1042,632.68,322.8,30.98,African American
"Forsyth County, NC",HD01_VD04,NA,Estimate; Income in the past 12 months below poverty level: - Married-couple family: - With related children under 18 years:,770,649.36,331.31,43.03,African American
"Forsyth County, NC",HD01_VD05,NA,Estimate; Income in the past 12 months below poverty level: - Married-couple family: - With related children under 18 years: - Under 5 years only,37,76.26,38.91,105.16,African American
"Forsyth County, NC",HD01_VD06,NA,Estimate; Income in the past 12 months below poverty level: - Married-couple family: - With related children under 18 years: - Under 5 years and 5 to 17 years,405,308.6,157.45,38.88,African American
"Forsyth County, NC",HD01_VD07,NA,Estimate; Income in the past 12 months below poverty level: - Married-couple family: - With related children under 18 years: - 5 to 17 years only,328,468.26,238.91,72.84,African American
"Forsyth County, NC",HD01_VD08,NA,Estimate; Income in the past 12 months below poverty level: - Married-couple family: - No related children under 18 years,272,193.02,98.48,36.21,African American
"Forsyth County, NC",HD01_VD09,NA,Estimate; Income in the past 12 months below poverty level: - Other family:,5109,1512,771.43,15.1,African American
"Forsyth County, NC",HD01_VD10,NA,"Estimate; Income in the past 12 months below poverty level: - Other family: - Male householder, no wife present:",492,468.26,238.91,48.56,African American
"Forsyth County, NC",HD01_VD11,NA,"Estimate; Income in the past 12 months below poverty level: - Other family: - Male householder, no wife present: - With related children under 18 years:",218,251.4,128.27,58.84,African American
"Forsyth County, NC",HD01_VD12,NA,"Estimate; Income in the past 12 months below poverty level: - Other family: - Male householder, no wife present: - With related children under 18 years: - Under 5 years only",85,163.23,83.28,97.98,African American
"Forsyth County, NC",HD01_VD13,NA,"Estimate; Income in the past 12 months below poverty level: - Other family: - Male householder, no wife present: - With related children under 18 years: - Under 5 years and 5 to 17 years",62,127.49,65.05,104.92,African American
"Forsyth County, NC",HD01_VD14,NA,"Estimate; Income in the past 12 months below poverty level: - Other family: - Male householder, no wife present: - With related children under 18 years: - 5 to 17 years only",71,140.6,71.73,101.03,African American
"Forsyth County, NC",HD01_VD15,NA,"Estimate; Income in the past 12 months below poverty level: - Other family: - Male householder, no wife present: - No related children under 18 years",274,347.91,177.51,64.78,African American
"Forsyth County, NC",HD01_VD16,NA,"Estimate; Income in the past 12 months below poverty level: - Other family: - Female householder, no husband present:",4617,1483.4,756.84,16.39,African American
"Forsyth County, NC",HD01_VD17,NA,"Estimate; Income in the past 12 months below poverty level: - Other family: - Female householder, no husband present: - With related children under 18 years:",4379,1454.81,742.25,16.95,African American
"Forsyth County, NC",HD01_VD18,NA,"Estimate; Income in the past 12 months below poverty level: - Other family: - Female householder, no husband present: - With related children under 18 years: - Under 5 years only",1139,731.57,373.25,32.77,African American
"Forsyth County, NC",HD01_VD19,NA,"Estimate; Income in the past 12 months below poverty level: - Other family: - Female householder, no husband present: - With related children under 18 years: - Under 5 years and 5 to 17 years",1322,795.91,406.08,30.72,African American
"Forsyth County, NC",HD01_VD20,NA,"Estimate; Income in the past 12 months below poverty level: - Other family: - Female householder, no husband present: - With related children under 18 years: - 5 to 17 years only",1918,913.87,466.26,24.31,African American
"Forsyth County, NC",HD01_VD21,NA,"Estimate; Income in the past 12 months below poverty level: - Other family: - Female householder, no husband present: - No related children under 18 years",238,185.87,94.83,39.84,African American
"Forsyth County, NC",HD01_VD22,NA,Estimate; Income in the past 12 months at or above poverty level:,15849,1986.21,1013.37,6.39,African American
"Forsyth County, NC",HD01_VD23,NA,Estimate; Income in the past 12 months at or above poverty level: - Married-couple family:,8163,1697.87,866.26,10.61,African American
"Forsyth County, NC",HD01_VD24,NA,Estimate; Income in the past 12 months at or above poverty level: - Married-couple family: - With related children under 18 years:,3116,1167.66,595.74,19.12,African American
"Forsyth County, NC",HD01_VD25,NA,Estimate; Income in the past 12 months at or above poverty level: - Married-couple family: - With related children under 18 years: - Under 5 years only,748,682.72,348.33,46.57,African American
"Forsyth County, NC",HD01_VD26,NA,Estimate; Income in the past 12 months at or above poverty level: - Married-couple family: - With related children under 18 years: - Under 5 years and 5 to 17 years,445,433.7,221.28,49.73,African American
"Forsyth County, NC",HD01_VD27,NA,Estimate; Income in the past 12 months at or above poverty level: - Married-couple family: - With related children under 18 years: - 5 to 17 years only,1923,1050.89,536.17,27.88,African American
"Forsyth County, NC",HD01_VD28,NA,Estimate; Income in the past 12 months at or above poverty level: - Married-couple family: - No related children under 18 years,5047,1265.36,645.59,12.79,African American
"Forsyth County, NC",HD01_VD29,NA,Estimate; Income in the past 12 months at or above poverty level: - Other family:,7686,1560.85,796.35,10.36,African American
"Forsyth County, NC",HD01_VD30,NA,"Estimate; Income in the past 12 months at or above poverty level: - Other family: - Male householder, no wife present:",851,545.7,278.42,32.72,African American
"Forsyth County, NC",HD01_VD31,NA,"Estimate; Income in the past 12 months at or above poverty level: - Other family: - Male householder, no wife present: - With related children under 18 years:",332,347.91,177.51,53.47,African American
"Forsyth County, NC",HD01_VD32,NA,"Estimate; Income in the past 12 months at or above poverty level: - Other family: - Male householder, no wife present: - With related children under 18 years: - Under 5 years only",152,296.68,151.37,99.59,African American
"Forsyth County, NC",HD01_VD33,NA,"Estimate; Income in the past 12 months at or above poverty level: - Other family: - Male householder, no wife present: - With related children under 18 years: - Under 5 years and 5 to 17 years",0,239.49,122.19,Inf,African American
"Forsyth County, NC",HD01_VD34,NA,"Estimate; Income in the past 12 months at or above poverty level: - Other family: - Male householder, no wife present: - With related children under 18 years: - 5 to 17 years only",180,179.91,91.79,50.99,African American
"Forsyth County, NC",HD01_VD35,NA,"Estimate; Income in the past 12 months at or above poverty level: - Other family: - Male householder, no wife present: - No related children under 18 years",519,432.51,220.67,42.52,African American
"Forsyth County, NC",HD01_VD36,NA,"Estimate; Income in the past 12 months at or above poverty level: - Other family: - Female householder, no husband present:",6835,1554.89,793.31,11.61,African American
"Forsyth County, NC",HD01_VD37,NA,"Estimate; Income in the past 12 months at or above poverty level: - Other family: - Female householder, no husband present: - With related children under 18 years:",4743,1411.91,720.36,15.19,African American
"Forsyth County, NC",HD01_VD38,NA,"Estimate; Income in the past 12 months at or above poverty level: - Other family: - Female householder, no husband present: - With related children under 18 years: - Under 5 years only",392,564.77,288.15,73.51,African American
"Forsyth County, NC",HD01_VD39,NA,"Estimate; Income in the past 12 months at or above poverty level: - Other family: - Female householder, no husband present: - With related children under 18 years: - Under 5 years and 5 to 17 years",467,390.81,199.39,42.7,African American
"Forsyth County, NC",HD01_VD40,NA,"Estimate; Income in the past 12 months at or above poverty level: - Other family: - Female householder, no husband present: - With related children under 18 years: - 5 to 17 years only",3884,1367.83,697.87,17.97,African American
"Forsyth County, NC",HD01_VD41,NA,"Estimate; Income in the past 12 months at or above poverty level: - Other family: - Female householder, no husband present: - No related children under 18 years",2092,785.19,400.61,19.15,African American
"Forsyth County, NC",HD01_VD01,NA,Estimate; Total:,89635,3661.45,1868.09,2.08,African American
"Forsyth County, NC",HD01_VD02,NA,Estimate; Income in the past 12 months below poverty level:,12647,2200.68,1122.8,8.88,African American
"Forsyth County, NC",HD01_VD03,NA,Estimate; Income in the past 12 months below poverty level: - Married-couple family:,4730,1416.68,722.8,15.28,African American
"Forsyth County, NC",HD01_VD04,NA,Estimate; Income in the past 12 months below poverty level: - Married-couple family: - With related children under 18 years:,3303,1245.11,635.26,19.23,African American
"Forsyth County, NC",HD01_VD05,NA,Estimate; Income in the past 12 months below poverty level: - Married-couple family: - With related children under 18 years: - Under 5 years only,85,178.72,91.18,107.27,African American
"Forsyth County, NC",HD01_VD06,NA,Estimate; Income in the past 12 months below poverty level: - Married-couple family: - With related children under 18 years: - Under 5 years and 5 to 17 years,1593,897.19,457.75,28.74,African American
"Forsyth County, NC",HD01_VD07,NA,Estimate; Income in the past 12 months below poverty level: - Married-couple family: - With related children under 18 years: - 5 to 17 years only,1625,859.06,438.3,26.97,African American
"Forsyth County, NC",HD01_VD08,NA,Estimate; Income in the past 12 months below poverty level: - Married-couple family: - No related children under 18 years,1427,792.34,404.26,28.33,African American
"Forsyth County, NC",HD01_VD09,NA,Estimate; Income in the past 12 months below poverty level: - Other family:,7917,1731.23,883.28,11.16,African American
"Forsyth County, NC",HD01_VD10,NA,"Estimate; Income in the past 12 months below poverty level: - Other family: - Male householder, no wife present:",1266,776.85,396.35,31.31,African American
"Forsyth County, NC",HD01_VD11,NA,"Estimate; Income in the past 12 months below poverty level: - Other family: - Male householder, no wife present: - With related children under 18 years:",1115,708.94,361.7,32.44,African American
"Forsyth County, NC",HD01_VD12,NA,"Estimate; Income in the past 12 months below poverty level: - Other family: - Male householder, no wife present: - With related children under 18 years: - Under 5 years only",35,72.68,37.08,105.94,African American
"Forsyth County, NC",HD01_VD13,NA,"Estimate; Income in the past 12 months below poverty level: - Other family: - Male householder, no wife present: - With related children under 18 years: - Under 5 years and 5 to 17 years",459,431.32,220.06,47.94,African American
