subtype,geo_description,type,year,estimate,se,moe,cv
Hispanic / Latino,"Guilford County, NC",Race / Ethnicity,2016,11.68,0.82,1.61,7.02
Total,"Durham County, NC",Comparison Community,2016,18.53,0.81,1.59,4.37
Total,"Forsyth County, NC",Comparison Community,2016,16.87,0.43,0.84,2.55
Total,"Guilford County, NC",Comparison Community,2016,17.02,0.65,1.27,3.82
16 to 21,North Carolina,Age,2017,9.8,1.85,3.63,18.88
22 to 29,North Carolina,Age,2017,13.62,0.79,1.55,5.8
30 to 44,North Carolina,Age,2017,19.12,0.83,1.63,4.34
45 to 64,North Carolina,Age,2017,22.06,0.4,0.78,1.81
Male,North Carolina,Gender,2017,19.61,0.47,0.92,2.4
Female,North Carolina,Gender,2017,17.43,0.42,0.82,2.41
"White, non-Hispanic",North Carolina,Race / Ethnicity,2017,22.06,0.31,0.61,1.41
African American,North Carolina,Race / Ethnicity,2017,14.71,0.39,0.76,2.65
Hispanic / Latino,North Carolina,Race / Ethnicity,2017,13.24,0.93,1.82,7.02
Total,North Carolina,Comparison Community,2017,18.39,0.45,0.88,2.45
16 to 21,"Durham County, NC",Age,2017,8.82,2.31,4.53,26.19
16 to 21,"Forsyth County, NC",Age,2017,11.49,0.89,1.74,7.75
16 to 21,"Guilford County, NC",Age,2017,7.19,1.23,2.41,17.11
22 to 29,"Durham County, NC",Age,2017,14.9,0.76,1.49,5.1
22 to 29,"Forsyth County, NC",Age,2017,13.93,0.54,1.06,3.88
22 to 29,"Guilford County, NC",Age,2017,12.25,0.53,1.04,4.33
30 to 44,"Durham County, NC",Age,2017,19.8,0.76,1.49,3.84
30 to 44,"Forsyth County, NC",Age,2017,18.43,1.03,2.02,5.59
30 to 44,"Guilford County, NC",Age,2017,18.39,1.24,2.43,6.74
45 to 64,"Durham County, NC",Age,2017,23.53,0.62,1.22,2.63
45 to 64,"Forsyth County, NC",Age,2017,21.7,0.92,1.8,4.24
45 to 64,"Guilford County, NC",Age,2017,21.39,0.73,1.43,3.41
Male,"Durham County, NC",Gender,2017,19.61,1.62,3.18,8.26
Male,"Forsyth County, NC",Gender,2017,18.63,0.99,1.94,5.31
Male,"Guilford County, NC",Gender,2017,19.61,0.77,1.51,3.93
Female,"Durham County, NC",Gender,2017,19.61,0.36,0.71,1.84
Female,"Forsyth County, NC",Gender,2017,17.23,0.58,1.14,3.37
Female,"Guilford County, NC",Gender,2017,17.16,0.44,0.86,2.56
"White, non-Hispanic","Durham County, NC",Race / Ethnicity,2017,24.51,0.64,1.25,2.61
"White, non-Hispanic","Forsyth County, NC",Race / Ethnicity,2017,21.18,0.8,1.57,3.78
"White, non-Hispanic","Guilford County, NC",Race / Ethnicity,2017,21.12,0.99,1.94,4.69
African American,"Durham County, NC",Race / Ethnicity,2017,14.71,0.94,1.84,6.39
African American,"Forsyth County, NC",Race / Ethnicity,2017,13.85,0.99,1.94,7.15
African American,"Guilford County, NC",Race / Ethnicity,2017,15.25,1.08,2.12,7.08
Hispanic / Latino,"Durham County, NC",Race / Ethnicity,2017,13.79,1.14,2.23,8.27
Hispanic / Latino,"Forsyth County, NC",Race / Ethnicity,2017,12.94,0.79,1.55,6.11
Hispanic / Latino,"Guilford County, NC",Race / Ethnicity,2017,13.79,1.95,3.82,14.14
Total,"Durham County, NC",Comparison Community,2017,19.61,0.24,0.47,1.22
Total,"Forsyth County, NC",Comparison Community,2017,17.65,0.69,1.35,3.91
Total,"Guilford County, NC",Comparison Community,2017,17.65,0.65,1.27,3.68
